width,depth,run,num_params,train_return,test_return,fim_trace
12.0,2.0,0.0,2956.0,0.06392018625145097,-0.041725271898287536,nan
12.0,2.0,1.0,2956.0,0.7499411254969541,0.30670350591318796,nan
12.0,2.0,2.0,2956.0,0.5319411254969543,0.06944537449996406,nan
16.0,2.0,0.0,4516.0,0.9824264068711928,0.41317329656132196,nan
16.0,2.0,1.0,4516.0,0.9704264068711929,0.06849240336225992,nan
16.0,2.0,2.0,4516.0,0.9804264068711928,0.40677884783678586,nan
24.0,2.0,0.0,8500.0,0.7339411254969543,-0.03430151519016499,nan
24.0,2.0,1.0,8500.0,0.7527695526217005,0.30376565570856834,nan
24.0,2.0,2.0,8500.0,0.9784264068711928,0.5273553390593274,nan
2.0,2.0,0.0,316.0,0.9824264068711928,0.19385686555687123,nan
2.0,2.0,1.0,316.0,0.9824264068711928,0.6445979797464467,nan
2.0,2.0,2.0,316.0,0.7584264068711929,0.7532641292110245,nan
32.0,2.0,0.0,13636.0,0.7524264068711928,0.3061018515508562,nan
32.0,2.0,1.0,13636.0,0.7604264068711928,0.30367871997199797,nan
32.0,2.0,2.0,13636.0,0.7479411254969542,-0.035206900781591076,nan
3.0,2.0,0.0,499.0,0.5214558441227157,-0.040523087363844634,nan
3.0,2.0,1.0,499.0,0.9824264068711928,0.1921957371956463,nan
3.0,2.0,2.0,499.0,0.9764264068711926,0.2989726636331456,nan
48.0,2.0,0.0,27364.0,0.06624474157178772,0.3020214885239052,nan
48.0,2.0,1.0,27364.0,0.7532153043202647,0.41286578357335635,nan
48.0,2.0,2.0,27364.0,0.5311126983722081,0.29467964644900013,nan
4.0,2.0,0.0,700.0,0.756426406871193,0.30537120698403236,nan
4.0,2.0,1.0,700.0,0.9824264068711928,0.07504430635682996,nan
4.0,2.0,2.0,700.0,0.9744264068711928,0.18049667747399245,nan
6.0,2.0,0.0,1156.0,0.9704264068711927,0.07400867359428796,nan
6.0,2.0,1.0,1156.0,0.07745584412271572,0.1895362071496666,nan
6.0,2.0,2.0,1156.0,0.7544264068711928,0.18909138192810446,nan
8.0,2.0,0.0,1684.0,0.9824264068711928,0.07478579774500574,nan
8.0,2.0,1.0,1684.0,0.9804264068711929,0.303698484809835,nan
8.0,2.0,2.0,1684.0,0.7484264068711929,0.4144159372484413,nan
