num_params,width,run_count,train_fit_mean,train_fit_std,test_return_mean,test_return_std,test_return_sem,test_return_ci95
316.0,2.0,3.0,0.9346420336420977,0.11320331841126417,0.6044791921398943,0.2596432646772563,0.14990510875468718,0.29381401315918687
499.0,3.0,3.0,0.8637489003114033,0.23146037644611583,0.2715405584311675,0.15195515750819744,0.08773135109210978,0.17195344814053515
700.0,4.0,3.0,0.9317242672868343,0.1122471960066847,0.3037138569143201,0.1009254065412552,0.05826931063466611,0.11420784884394557
1156.0,6.0,3.0,0.665924341424538,0.40781067802547977,0.27212147089232236,0.05827229986179149,0.033643528011503915,0.06594131490254768
1684.0,8.0,3.0,0.9311407140157817,0.11775491944859284,0.37140254349495266,0.15161495804949077,0.08753493684304732,0.17156847621237276
2956.0,12.0,3.0,0.5327264922752603,0.30682203444080525,0.23762978038569615,0.15578780041333978,0.08994412850510142,0.17629049186999876
4516.0,16.0,3.0,0.9959151271026312,0.005627583946467173,0.39928014604989737,0.17259896088672602,0.09965005652980097,0.1953141107984099
8500.0,24.0,3.0,0.859322189822219,0.11908378862650093,0.37254609192569516,0.24751366945630732,0.1429020836887111,0.28008808402987373
13636.0,32.0,3.0,0.7996996342622653,0.005536072417704363,0.3076999575635583,0.1718788526178198,0.09923430182690228,0.19449923158072846
27364.0,48.0,3.0,0.534118356407663,0.30685699567808283,0.43462082388478057,0.05796191525617999,0.0334643273759018,0.06559008165676752
