num_params,train_mean,train_std,test_mean,test_std
316.0,0.9077597402045261,0.10559461265719103,0.5305729915047808,0.24219192818216284
499.0,0.8267695526217004,0.21590328922622157,0.15021510448831576,0.1417418342812816
700.0,0.9044264068711928,0.10470275386381507,0.18697073027161826,0.09414193294472317
1156.0,0.6007695526217004,0.38040060298516903,0.15087875422401967,0.054355658640632964
1684.0,0.9037597402045262,0.10984028809543829,0.26430007326776067,0.14142450056198363
2956.0,0.4486008124151198,0.28619968333228957,0.1114745361716215,0.14531687473682325
4516.0,0.977759740204526,0.005249338582674494,0.29614818258678927,0.16099811097104713
8500.0,0.8217123616632825,0.11107984032838171,0.26560649319257695,0.2308775963496679
13636.0,0.7535979797464466,0.005163977794943214,0.19152455691375436,0.16032640315546756
27364.0,0.45019091475475354,0.2862322947288471,0.3365223061820872,0.054066135836317024
