num_params,width,run_count,train_fit_mean,train_fit_std,test_return_mean,test_return_std,test_return_sem,test_return_ci95,train_entropy_mean,train_entropy_std,test_entropy_mean,test_entropy_std,train_coverage_mean,train_coverage_std,test_coverage_mean,test_coverage_std
22.0,2.0,3.0,0.5481799386009705,0.08665732530500629,0.4253625875166091,0.05577857287209646,0.03220377406271805,0.06311939716292737,1.1375970413287482,0.10938300758881665,1.143248198032379,0.10387202320413261,1.0,0.0,1.0,0.0
31.0,3.0,3.0,0.614846605267637,0.10307805150010262,0.4770292541832757,0.02372512637147053,0.0136977080971264,0.026847507870367743,1.0636309295892714,0.07794845491054606,1.0926636069019635,0.0713817318198152,1.0,0.0,1.0,0.0
40.0,4.0,3.0,0.7815132719343039,0.03329515824523456,0.5236959208499424,0.025350982137904692,0.01463639636154067,0.02868733686861971,1.1351470073064167,0.12199673963516132,1.1551877376437187,0.11993472822819085,1.0,0.0,1.0,0.0
49.0,5.0,3.0,0.6648466052676371,0.14868602594582986,0.535362587516609,0.07080572512495423,0.04087970446105897,0.08012422074367559,1.1065638547142347,0.11130961614065829,1.1370425068835417,0.10287010112795537,1.0,0.0,1.0,0.0
58.0,6.0,3.0,0.7315132719343037,0.06220109531570759,0.5320292541832757,0.020254717352630423,0.01169406651590096,0.02292037037116588,1.0265560338894526,0.09128727299166625,1.0598872640728951,0.08684106476496901,1.0,0.0,1.0,0.0
76.0,8.0,3.0,0.7981799386009705,0.08231808719991666,0.5770292541832758,0.060290411799021316,0.03480868548171835,0.06822502354416797,1.083612776796023,0.12495240628175396,1.1244007988770803,0.10608740482928593,1.0,0.0,1.0,0.0
94.0,10.0,3.0,0.7648466052676371,0.2314601826660983,0.6103625875166091,0.16373119469728908,0.09453024933321888,0.185279288693109,1.080405475695928,0.07511198161030666,1.1023301477233567,0.06895181695813445,1.0,0.0,1.0,0.0
112.0,12.0,3.0,0.7815132719343039,0.02939658789134687,0.5653625875166091,0.033492706323571056,0.01933702301180283,0.03790056510313355,1.0589935938517254,0.06458265726352529,1.118050107260545,0.057269316971985375,1.0,0.0,1.0,0.0
148.0,16.0,3.0,0.8648466052676372,0.058047333134084195,0.6403625875166091,0.08575334864651121,0.049509718924975084,0.09703904909295116,1.0810803463061651,0.07661068997143014,1.1366726267337801,0.06752405695501361,1.0,0.0,1.0,0.0
220.0,24.0,3.0,0.8981799386009706,0.047592897013064364,0.7586959208499424,0.04081790454480707,0.023566228176700812,0.04618980722633359,1.03328327635924,0.008247430754037862,1.0967487878600755,0.024165945913802476,1.0,0.0,1.0,0.0
292.0,32.0,3.0,0.8981799386009705,0.04495192613420048,0.720362587516609,0.022192431817363256,0.012812806483727093,0.0251131007081051,1.0371082464853922,0.010221976147741766,1.1137994413574537,0.016974256051181563,1.0,0.0,1.0,0.0
436.0,48.0,3.0,0.8481799386009706,0.13703844162335016,0.6170292541832757,0.06312356624487572,0.036444407963688176,0.07143103960882882,0.9817092905441921,0.08113515400006378,1.066626066317161,0.06970617441267522,1.0,0.0,1.0,0.0
580.0,64.0,3.0,0.8315132719343037,0.029396587891346845,0.6420292541832757,0.08486003181516112,0.04899396221192348,0.09602816593537002,0.90519148260355,0.007286646835761117,1.0177976545194785,0.014583337840240646,1.0,0.0,1.0,0.0
868.0,96.0,3.0,0.9315132719343039,0.029396587891346783,0.720362587516609,0.05221425646240855,0.030145915024107735,0.05908599344725116,0.9646565755208334,0.05671482179002448,1.042931384195884,0.024834697476862313,1.0,0.0,1.0,0.0
1156.0,128.0,3.0,0.9148466052676372,0.053372984666236196,0.7236959208499423,0.054138855489235006,0.03125708279032808,0.061263882269043037,0.8986726994315783,0.06259865273828417,0.9758936830113331,0.07025268462601741,1.0,0.0,1.0,0.0
1732.0,192.0,3.0,0.8815132719343038,0.029396587891346825,0.6536959208499424,0.05604457711575544,0.03235735168440015,0.06342040930142429,0.9547968765099842,0.03180868873662587,1.0460286493599416,0.01784355368253827,1.0,0.0,1.0,0.0
2308.0,256.0,3.0,0.9148466052676372,0.024679631036156367,0.670362587516609,0.021655005637533014,0.01250252333413255,0.024504945734899797,0.8951673318942387,0.030366594808744856,1.0051237582912047,0.027589675580755948,1.0,0.0,1.0,0.0
