width,depth,run,num_params,train_return,test_return,train_return_std,test_return_std,train_entropy,test_entropy,train_coverage,test_coverage,train_optimal_action_rate,test_optimal_action_rate,fim_trace
10.0,2.0,0.0,324.0,1.001905745122887,-0.351699313826429,0.10004628553684372,0.9419778895511735,0.17068334938958288,0.5020540474448353,1.0,1.0,1.0,0.325,nan
10.0,2.0,1.0,324.0,1.0052154239384843,-0.4971379042795998,0.10506451396518159,0.8764076247410633,0.15369155996013434,0.465203350961383,1.0,1.0,1.0,0.25,nan
10.0,2.0,2.0,324.0,0.9928545688671747,-0.4966665159332415,0.0999329730297548,0.8713426198626217,0.10680111800320446,0.4216351604554802,1.0,1.0,1.0,0.25,nan
128.0,2.0,0.0,19204.0,1.001905745122887,-0.451699313826429,0.10004628553684372,0.8984536628293417,0.07193722558731679,0.5007800125749782,1.0,1.0,1.0,0.275,nan
128.0,2.0,1.0,19204.0,1.0052154239384843,-0.5471379042795997,0.10506451396518159,0.8480803011931447,0.11023163395002485,0.6363796618301422,1.0,1.0,1.0,0.225,nan
128.0,2.0,2.0,19204.0,0.9928545688671747,-0.34666651593324155,0.0999329730297548,0.942922042891736,0.11380253955721856,0.5792272057384252,1.0,1.0,1.0,0.325,nan
12.0,2.0,0.0,412.0,1.001905745122887,-0.451699313826429,0.10004628553684372,0.8964877228494367,0.06350572034716606,0.45756797771318813,1.0,1.0,1.0,0.275,nan
12.0,2.0,1.0,412.0,0.8052154239384842,-0.3471379042795998,0.6051867887203802,0.9462980748794447,0.13998898552672473,0.4185427855409216,1.0,1.0,0.9,0.325,nan
12.0,2.0,2.0,412.0,0.9928545688671747,-0.34666651593324155,0.0999329730297548,0.9416389899110783,0.09065277143381537,0.44511152054037667,1.0,1.0,1.0,0.325,nan
16.0,2.0,0.0,612.0,1.001905745122887,-0.451699313826429,0.10004628553684372,0.8962301986711185,0.11813931653741747,0.5457863992080092,1.0,1.0,1.0,0.275,nan
16.0,2.0,1.0,612.0,1.0052154239384843,-0.24713790427959978,0.10506451396518159,0.9800244422256477,0.11193292818497866,0.6301810668548569,1.0,1.0,1.0,0.375,nan
16.0,2.0,2.0,612.0,0.9928545688671747,-0.39666651593324154,0.0999329730297548,0.9235576060919704,0.13453734023496508,0.4995914672035724,1.0,1.0,1.0,0.3,nan
24.0,2.0,0.0,1108.0,1.001905745122887,-0.351699313826429,0.10004628553684372,0.941294355262222,0.09527396527118981,0.5992562838830053,1.0,1.0,1.0,0.325,nan
24.0,2.0,1.0,1108.0,1.0052154239384843,-0.39713790427959983,0.10506451396518159,0.9289045273994675,0.07851075157523155,0.5837412317981944,1.0,1.0,1.0,0.3,nan
24.0,2.0,2.0,1108.0,0.9928545688671747,-0.39666651593324154,0.0999329730297548,0.9247743104776357,0.05728541000280529,0.45317151667550204,1.0,1.0,1.0,0.3,nan
2.0,2.0,0.0,52.0,0.601905745122887,-0.701699313826429,0.8009616519575954,0.7161508860087515,0.17304970249533652,0.28464321102947,1.0,1.0,0.8,0.15,nan
2.0,2.0,1.0,52.0,1.0052154239384843,-0.3471379042795998,0.10506451396518159,0.9447804555162181,0.21912044063210487,0.6660690870136022,1.0,1.0,1.0,0.325,nan
2.0,2.0,2.0,52.0,0.7928545688671749,-0.4966665159332415,0.6038761269855937,0.875673022008421,0.3205479644238949,0.6206435238942504,1.0,1.0,0.9,0.25,nan
32.0,2.0,0.0,1732.0,1.001905745122887,-0.551699313826429,0.10004628553684372,0.8315990643395069,0.19545112359337508,0.573241223488003,1.0,1.0,1.0,0.225,nan
32.0,2.0,1.0,1732.0,1.0052154239384843,-0.5471379042795997,0.10506451396518159,0.8459183524840819,0.11438064250396565,0.5576595382037339,1.0,1.0,1.0,0.225,nan
32.0,2.0,2.0,1732.0,0.9928545688671747,-0.5966665159332415,0.0999329730297548,0.806890428635165,0.05895883400226012,0.4883038962158025,1.0,1.0,1.0,0.2,nan
3.0,2.0,0.0,79.0,0.8019057451228869,-0.351699313826429,0.6176691326961256,0.9388895302742685,0.22071257610805334,0.3958811785560101,1.0,1.0,0.9,0.325,nan
3.0,2.0,1.0,79.0,0.8052154239384842,-0.3471379042795998,0.6051867887203802,0.9462980748794447,0.191768527100794,0.604268374980893,1.0,1.0,0.9,0.325,nan
3.0,2.0,2.0,79.0,0.9928545688671747,-0.4466665159332415,0.0999329730297548,0.9072200378670469,0.20615002755075693,0.7312429219484329,1.0,1.0,1.0,0.275,nan
48.0,2.0,0.0,3364.0,1.001905745122887,-0.601699313826429,0.10004628553684372,0.8019269012177866,0.10637938361614943,0.521138155926019,1.0,1.0,1.0,0.2,nan
48.0,2.0,1.0,3364.0,1.0052154239384843,-0.5971379042795998,0.10506451396518159,0.813310557786673,0.13608939531550276,0.488004861362424,1.0,1.0,1.0,0.2,nan
48.0,2.0,2.0,3364.0,0.9928545688671747,-0.4966665159332415,0.0999329730297548,0.877183458014171,0.04557312413235195,0.4875186866847798,1.0,1.0,1.0,0.25,nan
4.0,2.0,0.0,108.0,1.001905745122887,-0.601699313826429,0.10004628553684372,0.8000919629165291,0.16738229151815176,0.6022428091382608,1.0,1.0,1.0,0.2,nan
4.0,2.0,1.0,108.0,0.8052154239384842,-0.2471379042795998,0.6051867887203802,0.9747535005252631,0.11107016501482576,0.28269867280032485,1.0,1.0,0.9,0.375,nan
4.0,2.0,2.0,108.0,0.9928545688671747,-0.34666651593324155,0.0999329730297548,0.9427348286655447,0.08460438371403142,0.4236323260818608,1.0,1.0,1.0,0.325,nan
5.0,2.0,0.0,139.0,1.001905745122887,-0.401699313826429,0.10004628553684372,0.9176808725302981,0.34441258311271666,0.7265381826087832,1.0,1.0,1.0,0.3,nan
5.0,2.0,1.0,139.0,0.6052154239384842,-0.6471379042795999,0.7999978792688269,0.7712987609465557,0.21116822212934494,0.39618537686765193,1.0,1.0,0.8,0.175,nan
5.0,2.0,2.0,139.0,0.7928545688671749,-0.4466665159332415,0.6038761269855937,0.8981497013446594,0.19828310152515768,0.3496087280102074,1.0,1.0,0.9,0.275,nan
64.0,2.0,0.0,5508.0,1.001905745122887,-0.601699313826429,0.10004628553684372,0.8071012744723739,0.05087157643865794,0.6386721498798579,1.0,1.0,1.0,0.2,nan
64.0,2.0,1.0,5508.0,1.0052154239384843,-0.19713790427959982,0.10506451396518159,0.9874244328907951,0.18746474693180062,0.566897034458816,1.0,1.0,1.0,0.4,nan
64.0,2.0,2.0,5508.0,0.9928545688671747,-0.6466665159332416,0.0999329730297548,0.7701814675114581,0.07699425418395549,0.5271128190710442,1.0,1.0,1.0,0.175,nan
6.0,2.0,0.0,172.0,1.001905745122887,-0.351699313826429,0.10004628553684372,0.9426805562794535,0.1395080060698092,0.5489776769187301,1.0,1.0,1.0,0.325,nan
6.0,2.0,1.0,172.0,0.8052154239384842,-0.19713790427959982,0.6051867887203802,0.9877551080680874,0.11178653538227082,0.5923575447872281,1.0,1.0,0.9,0.4,nan
6.0,2.0,2.0,172.0,0.9928545688671747,-0.4966665159332415,0.0999329730297548,0.873902114336789,0.12689934112131596,0.5130117405729834,1.0,1.0,1.0,0.25,nan
8.0,2.0,0.0,244.0,1.001905745122887,-0.451699313826429,0.10004628553684372,0.8923111405557141,0.07533737034536898,0.39040008500160184,1.0,1.0,1.0,0.275,nan
8.0,2.0,1.0,244.0,1.0052154239384843,-0.49713790427959986,0.10506451396518159,0.8753512063018526,0.16616443134844303,0.5598886229563504,1.0,1.0,1.0,0.25,nan
8.0,2.0,2.0,244.0,0.9928545688671747,-0.34666651593324155,0.0999329730297548,0.9410339088950518,0.17748133772984148,0.5157744060270488,1.0,1.0,1.0,0.325,nan
96.0,2.0,0.0,11332.0,1.001905745122887,-0.701699313826429,0.10004628553684372,0.7165005022015445,0.07772314706235192,0.4746320462174481,1.0,1.0,1.0,0.15,nan
96.0,2.0,1.0,11332.0,1.0052154239384843,-0.4971379042795998,0.10506451396518159,0.8793520908863675,0.08117220271378756,0.5936892624944449,1.0,1.0,1.0,0.25,nan
96.0,2.0,2.0,11332.0,0.9928545688671747,-0.39666651593324154,0.0999329730297548,0.9268697656955518,0.10314281885512173,0.6030810579191893,1.0,1.0,1.0,0.3,nan
