num_params,width,run_count,train_fit_mean,train_fit_std,test_return_mean,test_return_std,test_return_sem,test_return_ci95,train_entropy_mean,train_entropy_std,test_entropy_mean,test_entropy_std,train_coverage_mean,train_coverage_std,test_coverage_mean,test_coverage_std
52.0,2.0,3.0,0.8999959563214244,0.10087477449010004,0.2424160443267883,0.08900164957619434,0.05138512634113655,0.10071484762862765,0.23757270251711207,0.07546057775084332,0.5237852739791076,0.20834482270993407,1.0,0.0,1.0,0.0
79.0,3.0,3.0,0.9333292896547576,0.05465073039034621,0.3090827109934549,0.028096204125847887,0.016221351015264954,0.03179384798991931,0.2062103769198681,0.0144721188762538,0.5771308251617787,0.16931984434920788,1.0,0.0,1.0,0.0
108.0,4.0,3.0,0.9666626229880909,0.05551931156093549,0.3007493776601216,0.09143792650362212,0.05279171148100745,0.1034717545027746,0.12101894674900297,0.04227622498050867,0.43619126934014885,0.16014184043782256,1.0,0.0,1.0,0.0
139.0,5.0,3.0,0.8999959563214244,0.09922072488582619,0.25074937766012156,0.06533596779163538,0.03772173859226541,0.0739346076408402,0.25128796892240646,0.08090520322770786,0.4907774291622142,0.20549865134342818,1.0,0.0,1.0,0.0
172.0,6.0,3.0,0.9666626229880909,0.05551931156093549,0.32574937766012163,0.07489495649656541,0.043240623294237356,0.08475162165670522,0.12606462752446532,0.013879572917117729,0.5514489874263139,0.03973058888715325,1.0,0.0,1.0,0.0
244.0,8.0,3.0,0.9999959563214244,0.003199404264652888,0.2840827109934549,0.038588746657608766,0.022279223270460693,0.04366727761010296,0.13966104647455116,0.05599258500542974,0.48868770466166706,0.08793098525350775,1.0,0.0,1.0,0.0
324.0,10.0,3.0,0.9999959563214244,0.003199404264652888,0.2757493776601216,0.041916631288912654,0.024200578358176014,0.047433133582024986,0.1437253424509739,0.03308668901999141,0.46296418628723285,0.04025617642027291,1.0,0.0,1.0,0.0
412.0,12.0,3.0,0.9666626229880909,0.05551931156093549,0.3090827109934549,0.03025254755571834,0.01746631647496594,0.03423398029093324,0.09804915910256873,0.03877437782919976,0.4404074279314955,0.01993333317524395,1.0,0.0,1.0,0.0
612.0,16.0,3.0,0.9999959563214244,0.003199404264652888,0.3174160443267882,0.05292793245804604,0.030557956052303215,0.0598935938625143,0.12153652831912039,0.011678854693363504,0.5585196444221462,0.06621942716856735,1.0,0.0,1.0,0.0
1108.0,24.0,3.0,0.9999959563214244,0.003199404264652888,0.3090827109934549,0.01304948430440035,0.007534123275931339,0.014766881620825423,0.07702337561640889,0.019037904251175835,0.545389677452234,0.08023914937909658,1.0,0.0,1.0,0.0
1732.0,32.0,3.0,0.9999959563214244,0.003199404264652888,0.2174160443267883,0.013686884072452485,0.007902126203597645,0.015488167359051383,0.12293020003320028,0.06864661302581117,0.5397348859691798,0.045216780727220095,1.0,0.0,1.0,0.0
3364.0,48.0,3.0,0.9999959563214244,0.003199404264652888,0.2174160443267883,0.0296838865987437,0.017137999918379002,0.03359047984002284,0.09601396768800137,0.046139790016297796,0.49888723465774093,0.01927139627581839,1.0,0.0,1.0,0.0
5508.0,64.0,3.0,0.9999959563214244,0.003199404264652888,0.2590827109934549,0.12378879123583225,0.07146949194266614,0.14008020420762562,0.10511019251813802,0.07250726203388769,0.5775606678032393,0.05653897664183358,1.0,0.0,1.0,0.0
11332.0,96.0,3.0,0.9999959563214244,0.003199404264652888,0.23408271099345493,0.07772410553323009,0.04487403325213327,0.08795310517418121,0.08734605621042041,0.013788664865078437,0.5571341222103608,0.07160304366910888,1.0,0.0,1.0,0.0
19204.0,128.0,3.0,0.9999959563214244,0.003199404264652888,0.2757493776601216,0.050136975180696874,0.028946596116928926,0.056735328389180696,0.09865713303152006,0.02320889769213446,0.5721289600478485,0.06807793356472945,1.0,0.0,1.0,0.0
