num_params,width,run_count,train_fit_mean,train_fit_std,test_return_mean,test_return_std,test_return_sem,test_return_ci95,train_coverage_mean,train_coverage_std,test_coverage_mean,test_coverage_std
2.0,2.0,3.0,0.5,0.0,0.2393792904255426,0.03614836176516528,0.020870266395882152,0.04090572213592902,1.0,0.0,1.0,0.0
3.0,3.0,3.0,0.18333333333333332,0.10408329997330663,0.16863093225535117,0.09068476750637063,0.05235687493120171,0.10261947486515535,1.0,0.0,1.0,0.0
4.0,4.0,3.0,0.5,0.15000000000000002,0.2675707660950855,0.034375147977926956,0.01984650093848935,0.03889914183943912,1.0,0.0,1.0,0.0
5.0,5.0,3.0,0.3833333333333333,0.20207259421636903,0.2507815998134649,0.05048117221913331,0.029145318369724477,0.05712482400465997,1.0,0.0,1.0,0.0
6.0,6.0,3.0,0.5,0.0,0.28000196698681873,0.00033062729136382164,0.00019088775567033925,0.00037414000111386493,1.0,0.0,1.0,0.0
8.0,8.0,3.0,0.39999999999999997,0.17320508075688773,0.2283247448342677,0.08951604044679079,0.051682110048744095,0.10129693569553842,1.0,0.0,1.0,0.0
10.0,10.0,3.0,0.43333333333333335,0.05773502691896257,0.1972408110735452,0.07262838809772242,0.04193201941902865,0.08218675806129616,1.0,0.0,1.0,0.0
12.0,12.0,3.0,0.6333333333333333,0.10408329997330662,0.2899034996169444,0.03714319406460146,0.021444633091760163,0.042031480859849916,1.0,0.0,1.0,0.0
16.0,16.0,3.0,0.4666666666666666,0.10408329997330666,0.21316705602781338,0.07004259811526607,0.04043911287658964,0.07926066123811569,1.0,0.0,1.0,0.0
24.0,24.0,3.0,0.6666666666666666,0.14433756729740646,0.30502408542609577,0.09580249912120899,0.055311598656668896,0.10841073336707104,1.0,0.0,1.0,0.0
32.0,32.0,3.0,0.65,0.1322875655532295,0.26657813914990786,0.02055172686678119,0.011865545038847786,0.02325646827614166,1.0,0.0,1.0,0.0
48.0,48.0,3.0,0.8833333333333333,0.028867513459481315,0.30260826948658986,0.07694533847638421,0.044424411882227295,0.08707184728916549,1.0,0.0,1.0,0.0
64.0,64.0,3.0,0.8666666666666667,0.05773502691896256,0.38623659991598486,0.06134779706996535,0.03541916715253503,0.06942156761896866,1.0,0.0,1.0,0.0
96.0,96.0,3.0,0.9166666666666666,0.07637626158259735,0.32061171639339486,0.032304331466967075,0.01865091446844434,0.03655579235815091,1.0,0.0,1.0,0.0
128.0,128.0,3.0,0.9,0.04999999999999999,0.3392826385138071,0.027164973197351085,0.01568370458801962,0.030740060992518452,1.0,0.0,1.0,0.0
192.0,192.0,3.0,0.85,0.08660254037844381,0.2614688304898775,0.04430175680111416,0.025577631214696594,0.050132157180805326,1.0,0.0,1.0,0.0
256.0,256.0,3.0,0.8166666666666668,0.07637626158259735,0.24357261839882893,0.01336192672784897,0.0077145119932156584,0.015120443506702691,1.0,0.0,1.0,0.0
