num_params,train_mean,train_std,test_mean,test_std,train_entropy_mean,train_entropy_std,test_entropy_mean,test_entropy_std,train_coverage_mean,train_coverage_std,test_coverage_mean,test_coverage_std,train_return_std_mean,train_return_std_std,test_return_std_mean,test_return_std_std
700.0,0.8381960134715912,0.1304924251460548,0.029383278964016435,0.11063388248267506,0.3121483254766207,0.14183050999054073,0.239713059500034,0.10938492938696744,0.23673811459339703,0.017542590323484916,0.12858810426582426,0.014347679088427729,0.29410736976455076,0.16766938051070263,0.5308565773668728,0.0732742977742718
1075.0,0.7766267835265618,0.05372427090615706,-0.01519433388554855,0.10627227813299837,0.2572165799411249,0.03928277732678344,0.17698154149092857,0.08009757770950406,0.23813992935114395,0.005700613157095179,0.15510140699409822,0.02116323134535087,0.4239417448018951,0.06132283315584219,0.48829129243502206,0.07368920434791296
1468.0,0.8684139671267301,0.08949755346246989,-0.07026419251179504,0.06026388027720092,0.21242417567931549,0.08116497615518316,0.17667031693744395,0.012491247866133261,0.24823717297381132,0.003360475533639065,0.1168377939325523,0.02189960256426215,0.26925302105541454,0.13660601128158617,0.47286117988244686,0.048436518455244035
1879.0,0.9319808758627214,0.03468976217069988,-0.07531713122049212,0.17187567717919677,0.1999673272824671,0.02369500177030568,0.15873777854311985,0.0356280199634703,0.2510702495018031,0.002672987113268109,0.12125417425012919,0.02911308482702257,0.10037425634004944,0.13418798641764282,0.41546221999742805,0.14285397726115895
2308.0,0.8900849942630161,0.06330615683060609,-0.059541455547289214,0.11398637264953049,0.21762475517332727,0.07207822306811702,0.12392423964896872,0.058663164931734645,0.24503806323232868,0.007374624645317375,0.13842147507721655,0.026262509063179434,0.21621687549232693,0.16375440571380206,0.4583167288651306,0.08561964545368371
3220.0,0.9247100586795014,0.01157376181290835,0.014786012674935345,0.047947100368930996,0.22754323319966638,0.06682436925299715,0.14445475101807548,0.036981288172591976,0.24951092746790482,0.0015347416012161052,0.14313493907803176,0.0039049809901132073,0.19633169814958498,0.03238519152663468,0.5311364636654914,0.029366199302790184
4204.0,0.7865089385726315,0.0685414851523104,-0.10612673126924183,0.09363047088985678,0.1430963275911504,0.05358493414413762,0.08269952578256211,0.03204357981447086,0.24087952873481114,0.007463476182179328,0.12770682878642212,0.015044760824607055,0.4079197264255709,0.08188074555419576,0.4226823702446074,0.08380883333694468
5260.0,0.9168475425293882,0.011429197656648347,0.09976563991994229,0.08593519997802736,0.17746952479272135,0.017387747107130643,0.14749090735087042,0.012656996690208401,0.2494308042013408,0.001765814742082732,0.1580445011742114,0.0271556113831005,0.21730188050119434,0.032105177202260624,0.5658627152103991,0.030610886207462242
7588.0,0.804177169190726,0.09018397731930522,0.06636303716699175,0.1172499846869559,0.17704627712891363,0.05697182225457113,0.12588991274293193,0.05251153195918966,0.24682305120598022,0.0025132465978013226,0.15745770214504257,0.02083574261301586,0.364702567815064,0.1349455572423782,0.5398925899652617,0.06871934108031257
13108.0,0.8667001356926597,0.07565062093310353,0.08102848436206132,0.049341748965908705,0.19113669115095525,0.03425152017298815,0.13372276585916276,0.030318934260125618,0.24369890897792024,0.007768395930089988,0.1544330263017703,0.02461733859476712,0.2887190030597704,0.11805541832665707,0.5630682489050615,0.017859151393419374
19780.0,0.9233001356926596,0.030371680484322566,0.022781661823587412,0.09155955072366069,0.17103582484705548,0.054044835978203455,0.1259953558114065,0.06419657307706358,0.24940615088855198,0.0028690202650810473,0.13397706652766792,0.010830835678920812,0.15786115437606577,0.11835423176404249,0.5302313451575021,0.05917157070411812
