num_params,width,run_count,train_fit_mean,train_fit_std,test_return_mean,test_return_std,test_return_sem,test_return_ci95,train_coverage_mean,train_coverage_std,test_coverage_mean,test_coverage_std
2.0,2.0,3.0,0.1371502773305121,0.0963883032578146,0.12147138133507461,0.049970901670864556,0.028850713531321973,0.05654739852139107,1.0,0.0,1.0,0.0
3.0,3.0,3.0,0.2871502773305121,0.23524028248785187,0.2231380480017413,0.21142346913438276,0.12206539681774042,0.2392481777627712,1.0,0.0,1.0,0.0
4.0,4.0,3.0,0.3371502773305121,0.25366879867275666,0.28480471466840795,0.1876602729753744,0.10834570911853107,0.2123575898723209,1.0,0.0,1.0,0.0
5.0,5.0,3.0,0.3204836106638454,0.24008084665658289,0.2664713813350746,0.19672848455011396,0.11358124351227544,0.22261923728405986,1.0,0.0,1.0,0.0
6.0,6.0,3.0,0.5204836106638454,0.0680133816273917,0.4148047146684079,0.0504494749606857,0.029127017949027174,0.057088955180093263,1.0,0.0,1.0,0.0
8.0,8.0,3.0,0.5538169439971788,0.08137269914362716,0.4398047146684079,0.017915477326408462,0.010343505657062563,0.020273271087842624,1.0,0.0,1.0,0.0
10.0,10.0,3.0,0.6204836106638455,0.11665463360170471,0.47647138133507455,0.02599268009436254,0.01500688084944004,0.029413486464902477,1.0,0.0,1.0,0.0
12.0,12.0,3.0,0.7538169439971788,0.16911355602094902,0.5098047146684079,0.043064936182635426,0.024863552497678618,0.04873256289545009,1.0,0.0,1.0,0.0
16.0,16.0,3.0,0.6371502773305121,0.13884715946570012,0.47647138133507455,0.07581678427585922,0.04377284081075911,0.08579476798908786,1.0,0.0,1.0,0.0
24.0,24.0,3.0,0.8038169439971788,0.06036868337128857,0.5781380480017412,0.07863072704507296,0.04539747142604886,0.08897904399505575,1.0,0.0,1.0,0.0
32.0,32.0,3.0,0.9204836106638453,0.04607360689252051,0.6581380480017412,0.0667559305062198,0.03854155444776995,0.07554144671762911,1.0,0.0,1.0,0.0
48.0,48.0,3.0,0.8204836106638455,0.1166937531561485,0.49313804800174127,0.00967363833414611,0.00558507769626234,0.010946752284674186,1.0,0.0,1.0,0.0
64.0,64.0,3.0,0.6538169439971787,0.04030581836690544,0.34313804800174125,0.01712700800284618,0.009888282680856118,0.01938103405447799,1.0,0.0,1.0,0.0
96.0,96.0,3.0,0.7538169439971787,0.05131225047638311,0.3831380480017412,0.08070831833753116,0.04659696931801562,0.09133005986331062,1.0,0.0,1.0,0.0
128.0,128.0,3.0,0.6538169439971787,0.14376105069888215,0.3281380480017413,0.07308601931838848,0.04219623292746978,0.08270461653784077,1.0,0.0,1.0,0.0
192.0,192.0,3.0,0.7704836106638454,0.19665081645526042,0.3364713813350746,0.11133385065548307,0.06427862864586074,0.12598611214588706,1.0,0.0,1.0,0.0
256.0,256.0,3.0,0.7538169439971787,0.2063685149120835,0.33813804800174124,0.06517165485733872,0.0376268724754179,0.07374867005181908,1.0,0.0,1.0,0.0
