num_params,width,run_count,train_fit_mean,train_fit_std,test_return_mean,test_return_std,test_return_sem,test_return_ci95,train_entropy_mean,train_entropy_std,test_entropy_mean,test_entropy_std,train_coverage_mean,train_coverage_std,test_coverage_mean,test_coverage_std
22.0,2.0,3.0,0.6647349571654042,0.12517682933834356,0.49637664646207763,0.05146260806276958,0.029711950618240224,0.05823542321175084,0.14301556052499412,0.13217697066330716,0.16464266876195324,0.14125269945201227,1.0,0.0,1.0,0.0
31.0,3.0,3.0,0.8647349571654042,0.03928496764559586,0.599709979795411,0.073389563139587,0.042371484034349594,0.08304810870732521,0.24965297770686448,0.0892071752541192,0.35993049966481827,0.08769419806219578,1.0,0.0,1.0,0.0
40.0,4.0,3.0,0.8980682904987374,0.07868637362717161,0.7013766464620775,0.11003632268269593,0.06352950052149102,0.1245178210221224,0.1880278118090549,0.03285129099806325,0.32831240036020365,0.08061680113343475,1.0,0.0,1.0,0.0
49.0,5.0,3.0,0.8980682904987374,0.07868637362717161,0.6647099797954109,0.08487049862464754,0.049000005227198024,0.09604001024530813,0.20592823651774475,0.06793329183455529,0.3372330411304332,0.08808777640771265,1.0,0.0,1.0,0.0
58.0,6.0,3.0,0.9480682904987375,0.045449042611584015,0.7330433131287443,0.056330458859300284,0.03252240558599216,0.06374391494854463,0.27262803407405345,0.10173926180740495,0.396952601581579,0.08325063058680959,1.0,0.0,1.0,0.0
76.0,8.0,3.0,0.9147349571654041,0.08312282285179126,0.7313766464620777,0.11965196742520522,0.06908109560201058,0.13539894737994074,0.18334205994421304,0.04369216031883465,0.30876779892956013,0.13085700629055985,1.0,0.0,1.0,0.0
94.0,10.0,3.0,0.9147349571654041,0.08312282285179126,0.7180433131287444,0.1217138092761476,0.0702715005496786,0.13773214107737006,0.2038424422314468,0.03895842258298869,0.34642910540065114,0.08997311877903781,1.0,0.0,1.0,0.0
112.0,12.0,3.0,0.9647349571654041,0.016836678964837433,0.7863766464620777,0.04675583803543556,0.026994495675945265,0.05290921152485272,0.14011497268341677,0.014132522395075188,0.31945146101708816,0.011261083366049182,1.0,0.0,1.0,0.0
148.0,16.0,3.0,0.9647349571654041,0.016836678964837433,0.7563766464620777,0.01922418284772334,0.011099087142083656,0.021754210798483966,0.12219078051984977,0.018720653653592025,0.30668903737883285,0.022525236864425428,1.0,0.0,1.0,0.0
220.0,24.0,3.0,0.9814016238320709,0.04212195129705333,0.7780433131287442,0.048845851543963315,0.02820116553770372,0.055274284453899286,0.13578351255334078,0.019745227868502507,0.331243361256799,0.053607399265340666,1.0,0.0,1.0,0.0
292.0,32.0,3.0,0.9980682904987376,0.028730652597184204,0.7697099797954109,0.0320120643253941,0.0184821739555819,0.03622506095294052,0.13072052236462547,0.031170872458726663,0.3311170774740975,0.08763696119783869,1.0,0.0,1.0,0.0
436.0,48.0,3.0,0.9980682904987376,0.045449042611584015,0.7497099797954109,0.01933113355897882,0.01116083516401703,0.02187523692147338,0.08721741235980668,0.02695432923551805,0.29162491734821155,0.07584424353949633,1.0,0.0,1.0,0.0
580.0,64.0,3.0,1.0147349571654043,0.016836678964837433,0.7263766464620777,0.008745330588088664,0.005049118969185258,0.009896273179603106,0.0925789047685915,0.03215392070293541,0.3130059738241035,0.03320587167740009,1.0,0.0,1.0,0.0
868.0,96.0,3.0,1.0147349571654043,0.016836678964837433,0.734709979795411,0.04055840769118442,0.023416407598407914,0.04589615889287951,0.06607654887795983,0.018612762169024785,0.2840616314550981,0.030446719986881664,1.0,0.0,1.0,0.0
1156.0,128.0,3.0,1.0147349571654043,0.016836678964837433,0.7213766464620776,0.015874877963178553,0.009165365065393597,0.01796411552817145,0.06277049109856515,0.009131077766304627,0.26810063538528656,0.026058104222184453,1.0,0.0,1.0,0.0
1732.0,192.0,3.0,1.0147349571654043,0.016836678964837433,0.7297099797954109,0.03394767488096688,0.019599699230888126,0.03841541049254073,0.05522574861612952,0.001773830688671076,0.2530333138089356,0.0069903355562757055,1.0,0.0,1.0,0.0
2308.0,256.0,3.0,1.0147349571654043,0.016836678964837433,0.7513766464620777,0.006005395530510636,0.003467216726130491,0.0067957447832157625,0.06154246172693192,0.03305433614160377,0.24549859548621145,0.024082906585131958,1.0,0.0,1.0,0.0
