width,depth,run,num_params,train_return,test_return,train_return_std,test_return_std,train_entropy,test_entropy,train_coverage,test_coverage,train_optimal_action_rate,test_optimal_action_rate,fim_trace
10.0,1.0,0.0,94.0,0.9557679818977283,0.6161574186909359,0.5547915030218408,0.8435837398100028,0.22328344595443922,0.4223414007051906,1.0,1.0,0.95,0.805,nan
10.0,1.0,1.0,94.0,0.641124182060338,0.15913443636418145,0.852843747724727,1.0290535613158638,0.22925446406006814,0.247046948037314,1.0,1.0,0.8,0.58,nan
10.0,1.0,2.0,94.0,0.8915175790343587,0.5329680237173486,0.508818844908388,0.9086230615544025,0.15898941667983307,0.3698989674594486,1.0,1.0,0.95,0.765,nan
128.0,1.0,0.0,1156.0,1.0557679818977284,0.47615741869093575,0.32379510532138084,0.9299960784249397,0.07035948567258572,0.28366052005747794,1.0,1.0,1.0,0.735,nan
128.0,1.0,1.0,1156.0,1.041124182060338,0.43913443636418154,0.2908604845884406,0.9471919208942353,0.0653149173945394,0.28262410730341003,1.0,1.0,1.0,0.72,nan
128.0,1.0,2.0,1156.0,0.9915175790343587,0.41296802371734864,0.25911709815304307,0.9641021258280816,0.05263707022857034,0.23801727879497175,1.0,1.0,1.0,0.705,nan
12.0,1.0,0.0,112.0,0.9557679818977283,0.6661574186909358,0.5547915030218408,0.8070780790147551,0.12807980873330962,0.3312519416163559,1.0,1.0,0.95,0.83,nan
12.0,1.0,1.0,112.0,0.9411241820603382,0.47913443636418146,0.5317289466290702,0.9278401772649368,0.15567688861992793,0.3088211581600626,1.0,1.0,0.95,0.74,nan
12.0,1.0,2.0,112.0,0.8915175790343587,0.5729680237173486,0.508818844908388,0.8832084383859201,0.13658822069701274,0.3182812832748459,1.0,1.0,0.95,0.785,nan
16.0,1.0,0.0,148.0,0.9557679818977283,0.5561574186909358,0.5547915030218408,0.8864570070347324,0.13324252120655727,0.3306195558612671,1.0,1.0,0.95,0.775,nan
16.0,1.0,1.0,148.0,0.9411241820603382,0.4991344363641815,0.5317289466290702,0.9159500355953728,0.13275394818574568,0.2858985863737007,1.0,1.0,0.95,0.75,nan
16.0,1.0,2.0,148.0,0.8915175790343587,0.4829680237173486,0.508818844908388,0.9378003847799806,0.10057587216724642,0.30354896990153063,1.0,1.0,0.95,0.74,nan
192.0,1.0,0.0,1732.0,1.0557679818977284,0.4461574186909357,0.32379510532138084,0.94628933482208,0.05680770361166765,0.2508901120054504,1.0,1.0,1.0,0.72,nan
192.0,1.0,1.0,1732.0,1.041124182060338,0.3991344363641815,0.2908604845884406,0.964392138078874,0.05330803285854131,0.24736549294679636,1.0,1.0,1.0,0.7,nan
192.0,1.0,2.0,1732.0,0.9915175790343587,0.5329680237173486,0.25911709815304307,0.9006161054906728,0.05556150937817961,0.26084433647456023,1.0,1.0,1.0,0.765,nan
24.0,1.0,0.0,220.0,1.0557679818977284,0.4461574186909358,0.32379510532138084,0.9408329170598213,0.1581530486160773,0.3928758305289739,1.0,1.0,1.0,0.72,nan
24.0,1.0,1.0,220.0,0.9411241820603382,0.5891344363641815,0.5317289466290702,0.8635787830214372,0.120780771783393,0.2954439243817433,1.0,1.0,0.95,0.795,nan
24.0,1.0,2.0,220.0,0.8915175790343587,0.6329680237173486,0.508818844908388,0.8395264969882495,0.1284167172605521,0.3054103288596798,1.0,1.0,0.95,0.815,nan
256.0,1.0,0.0,2308.0,1.0557679818977284,0.5161574186909359,0.32379510532138084,0.9101808064856025,0.09915880959504761,0.2717583748107653,1.0,1.0,1.0,0.755,nan
256.0,1.0,1.0,2308.0,1.041124182060338,0.4991344363641815,0.2908604845884406,0.9153683423606805,0.0483331195961,0.24029362739815158,1.0,1.0,1.0,0.75,nan
256.0,1.0,2.0,2308.0,0.9915175790343587,0.49296802371734855,0.25911709815304307,0.928011506411397,0.03713545598964814,0.2244437842497174,1.0,1.0,1.0,0.745,nan
2.0,1.0,0.0,22.0,0.45576798189772844,-0.023842581309064206,0.9773101346268076,1.044243912686729,0.10632516094992753,0.1513842662089155,1.0,1.0,0.7,0.485,nan
2.0,1.0,1.0,22.0,0.04112418206033816,-0.10086556363581854,1.0362651879842286,1.0412051473165194,0.03305989317595959,0.030486621614545583,1.0,1.0,0.5,0.45,nan
2.0,1.0,2.0,22.0,0.49151757903435866,0.10296802371734863,0.919387889386408,1.0349914070713544,0.28966162744909524,0.31205711846239864,1.0,1.0,0.75,0.55,nan
32.0,1.0,0.0,292.0,1.0557679818977284,0.4961574186909358,0.32379510532138084,0.9187765866962211,0.16665756699803752,0.4055085061542195,1.0,1.0,1.0,0.745,nan
32.0,1.0,1.0,292.0,0.9411241820603382,0.5091344363641814,0.5317289466290702,0.9133782661385665,0.11448978803853152,0.23451030799958175,1.0,1.0,0.95,0.755,nan
32.0,1.0,2.0,292.0,0.9915175790343587,0.6129680237173486,0.25911709815304307,0.8514490134582346,0.1110142120573073,0.3533324182684913,1.0,1.0,1.0,0.805,nan
3.0,1.0,0.0,31.0,0.7557679818977283,0.1561574186909358,0.7665189387783226,1.0304306358405353,0.2514426854904741,0.33980072317644955,1.0,1.0,0.85,0.575,nan
3.0,1.0,1.0,31.0,0.641124182060338,0.07913443636418145,0.852843747724727,1.0424920314061172,0.15956441424787043,0.2840514151845127,1.0,1.0,0.8,0.54,nan
3.0,1.0,2.0,31.0,0.7915175790343586,0.3629680237173486,0.6458185673991907,0.9925475439679492,0.3379518333822489,0.4559393606334925,1.0,1.0,0.9,0.68,nan
48.0,1.0,0.0,436.0,1.0557679818977284,0.4861574186909358,0.32379510532138084,0.9270955946025404,0.11351960344036342,0.3609269696061256,1.0,1.0,1.0,0.74,nan
48.0,1.0,1.0,436.0,1.041124182060338,0.46913443636418145,0.2908604845884406,0.9351938654517313,0.08847749035980997,0.30334487829856355,1.0,1.0,1.0,0.735,nan
48.0,1.0,2.0,436.0,0.8915175790343587,0.5429680237173486,0.508818844908388,0.8964640851313176,0.05965514327924666,0.2106029041399455,1.0,1.0,0.95,0.77,nan
4.0,1.0,0.0,40.0,0.9557679818977283,0.6061574186909359,0.5547915030218408,0.8544049393078051,0.2100131728220731,0.3953411101049278,1.0,1.0,0.95,0.8,nan
