width,depth,run,num_params,train_return,test_return,train_return_std,test_return_std,train_optimal_action_rate,test_optimal_action_rate,train_optimal_action_std,test_optimal_action_std,train_entropy,test_entropy,train_coverage,test_coverage,fim_trace
2.0,1.0,0.0,2.0,-0.3933873049912416,-0.6507599877074268,0.9277895595205113,0.7660279345118357,0.3,0.175,0.45825756949558394,0.3799671038392666,nan,nan,1.0,1.0,nan
2.0,1.0,1.0,2.0,-0.6986992608214923,-0.3780977280583022,0.7129548110549578,0.9312458118214183,0.15,0.31,0.3570714214271425,0.462493243193887,nan,nan,1.0,1.0,nan
2.0,1.0,2.0,2.0,0.0034869579514695205,-0.09979920157872436,0.9992319432304064,0.9987761813977538,0.5,0.45,0.5,0.4974937185533101,nan,nan,1.0,1.0,nan
3.0,1.0,0.0,3.0,0.006612695008758358,-0.10075998770742682,0.9988469191380522,0.999850246012051,0.5,0.45,0.5,0.4974937185533101,nan,nan,1.0,1.0,nan
3.0,1.0,1.0,3.0,0.0013007391785079037,-0.11809772805830218,1.00507871013133,0.9986369314476138,0.5,0.44,0.5,0.4963869458396343,nan,nan,1.0,1.0,nan
3.0,1.0,2.0,3.0,-0.8965130420485304,-0.8697992015787243,0.44525049408120193,0.5018853472331838,0.05,0.065,0.21794494717703367,0.246525860712421,nan,nan,1.0,1.0,nan
4.0,1.0,0.0,4.0,-0.6933873049912416,-0.37075998770742685,0.7198905889564506,0.9353554810517029,0.15,0.315,0.3570714214271425,0.46451587701606073,nan,nan,1.0,1.0,nan
4.0,1.0,1.0,4.0,-0.2986992608214921,-0.07809772805830219,0.9515212736546542,1.0016159341153286,0.35,0.46,0.47696960070847283,0.49839743177508444,nan,nan,1.0,1.0,nan
4.0,1.0,2.0,4.0,-0.5965130420485305,-0.5197992015787244,0.8040859937342757,0.8612702263739755,0.2,0.24,0.4,0.4270831300812525,nan,nan,1.0,1.0,nan
5.0,1.0,0.0,5.0,0.10661269500875836,0.009240012292573183,0.9915694341997642,1.0048693103054334,0.55,0.505,0.49749371855331,0.4999749993749687,nan,nan,1.0,1.0,nan
5.0,1.0,1.0,5.0,-0.8986992608214922,-0.7980977280583023,0.45632520121043363,0.6092038941793152,0.05,0.1,0.21794494717703364,0.3,nan,nan,1.0,1.0,nan
5.0,1.0,2.0,5.0,-0.3965130420485305,-0.6497992015787243,0.9306510601375183,0.765495526369705,0.3,0.175,0.45825756949558394,0.3799671038392666,nan,nan,1.0,1.0,nan
6.0,1.0,0.0,6.0,-0.3933873049912416,-0.3207599877074268,0.9200999506891712,0.9535886226136987,0.3,0.34,0.45825756949558394,0.4737087712930805,nan,nan,1.0,1.0,nan
6.0,1.0,1.0,6.0,-0.0986992608214921,-0.02809772805830219,0.9995580325885643,1.0050728197246166,0.45,0.485,0.49749371855331004,0.49977494935220584,nan,nan,1.0,1.0,nan
6.0,1.0,2.0,6.0,0.0034869579514695205,-0.17979920157872437,0.9992319432304064,0.9883877320184966,0.5,0.41,0.5,0.4918333050943175,nan,nan,1.0,1.0,nan
8.0,1.0,0.0,8.0,0.006612695008758358,-0.10075998770742682,0.9988469191380522,0.999850246012051,0.5,0.45,0.5,0.4974937185533101,nan,nan,1.0,1.0,nan
8.0,1.0,1.0,8.0,0.0013007391785079037,-0.09809772805830218,1.00507871013133,1.0001404364016788,0.5,0.45,0.5,0.4974937185533101,nan,nan,1.0,1.0,nan
8.0,1.0,2.0,8.0,0.0034869579514695205,-0.10979920157872436,0.9992319432304064,0.9977787720790389,0.5,0.445,0.5,0.49696579359147036,nan,nan,1.0,1.0,nan
10.0,1.0,0.0,10.0,0.006612695008758358,-0.10075998770742682,0.9988469191380522,0.999850246012051,0.5,0.45,0.5,0.4974937185533101,nan,nan,1.0,1.0,nan
10.0,1.0,1.0,10.0,0.40130073917850795,0.03190227194169783,0.9209280012427365,1.0028865191015888,0.7,0.515,0.45825756949558394,0.49977494935220584,nan,nan,1.0,1.0,nan
10.0,1.0,2.0,10.0,-0.09651304204853048,-0.20979920157872436,0.9977720492255655,0.9812422684079312,0.45,0.395,0.49749371855331004,0.4888506929523574,nan,nan,1.0,1.0,nan
12.0,1.0,0.0,12.0,0.4066126950087583,0.009240012292573176,0.9157244300048532,1.0058866022110668,0.7,0.505,0.458257569495584,0.4999749993749687,nan,nan,1.0,1.0,nan
12.0,1.0,1.0,12.0,0.0013007391785078814,-0.26809772805830223,1.0016400572611968,0.9663791360920265,0.5,0.365,0.5,0.4814301610825811,nan,nan,1.0,1.0,nan
12.0,1.0,2.0,12.0,0.4034869579514695,0.09020079842127562,0.9169029956228711,0.9987913358728054,0.7,0.545,0.458257569495584,0.4979708826829135,nan,nan,1.0,1.0,nan
16.0,1.0,0.0,16.0,0.4066126950087583,-0.13075998770742683,0.922478344630408,0.9967915809205221,0.7,0.435,0.45825756949558394,0.4957569969249047,nan,nan,1.0,1.0,nan
16.0,1.0,1.0,16.0,0.10130073917850786,-0.2280977280583022,0.9973469869804533,0.9776117486388117,0.55,0.385,0.49749371855331,0.4865953144040744,nan,nan,1.0,1.0,nan
16.0,1.0,2.0,16.0,0.5034869579514695,0.030200798421275637,0.8687608089684385,1.0024178631178968,0.75,0.515,0.4330127018922193,0.4997749493522059,nan,nan,1.0,1.0,nan
24.0,1.0,0.0,24.0,0.9066126950087585,-0.15075998770742682,0.45046189373390316,0.9946087965930475,0.95,0.425,0.2179449471770337,0.4943429983321297,nan,nan,1.0,1.0,nan
24.0,1.0,1.0,24.0,0.8013007391785077,0.36190227194169783,0.6111302410701754,0.9372853493150308,0.9,0.68,0.3,0.46647615158762407,nan,nan,1.0,1.0,nan
24.0,1.0,2.0,24.0,0.9034869579514695,0.2202007984212756,0.4487334651272727,0.9804694498282788,0.95,0.61,0.2179449471770337,0.4877499359302879,nan,nan,1.0,1.0,nan
32.0,1.0,0.0,32.0,1.0066126950087584,0.14924001229257317,0.09757447130021664,0.9941936868449606,1.0,0.575,0.0,0.49434299833212975,nan,nan,1.0,1.0,nan
32.0,1.0,1.0,32.0,0.9013007391785078,0.5919022719416978,0.44672039953308507,0.8119954883023561,0.95,0.795,0.21794494717703367,0.40370162248868907,nan,nan,1.0,1.0,nan
32.0,1.0,2.0,32.0,0.9034869579514695,0.5102007984212756,0.4487334651272727,0.8658349402252334,0.95,0.755,0.2179449471770337,0.43008720046055776,nan,nan,1.0,1.0,nan
48.0,1.0,0.0,48.0,0.7066126950087585,-0.09075998770742683,0.7181839391596024,1.0001076416174914,0.85,0.455,0.3570714214271425,0.49797088268291345,nan,nan,1.0,1.0,nan
48.0,1.0,1.0,48.0,0.8013007391785077,0.011902271941697826,0.6143323217128768,1.0046993901102328,0.9,0.505,0.3,0.49997499937496875,nan,nan,1.0,1.0,nan
48.0,1.0,2.0,48.0,1.0034869579514696,0.39020079842127564,0.10186618252514483,0.9253118469726574,1.0,0.695,0.0,0.460407428263272,nan,nan,1.0,1.0,nan
64.0,1.0,0.0,64.0,0.8066126950087584,-0.14075998770742684,0.6063162608082069,0.9944320003376808,0.9,0.43,0.3,0.4950757517794625,nan,nan,1.0,1.0,nan
64.0,1.0,1.0,64.0,0.3013007391785079,-0.3880977280583022,0.96326157956946,0.9257017337727108,0.65,0.305,0.47696960070847283,0.460407428263272,nan,nan,1.0,1.0,nan
64.0,1.0,2.0,64.0,0.4034869579514695,-0.5897992015787242,0.9132457426968157,0.8127482706023471,0.7,0.205,0.458257569495584,0.40370162248868907,nan,nan,1.0,1.0,nan
96.0,1.0,0.0,96.0,0.3066126950087584,-0.31075998770742685,0.9591561337065007,0.955319646454558,0.65,0.345,0.47696960070847283,0.4753682782853732,nan,nan,1.0,1.0,nan
96.0,1.0,1.0,96.0,0.40130073917850795,-0.4780977280583022,0.9197067130420415,0.8819422904159266,0.7,0.26,0.458257569495584,0.43863424398922624,nan,nan,1.0,1.0,nan
96.0,1.0,2.0,96.0,0.8034869579514695,-0.2597992015787244,0.599949863108167,0.9722501984128117,0.9,0.37,0.3,0.4828043081829324,nan,nan,1.0,1.0,nan
128.0,1.0,0.0,128.0,0.2066126950087584,-0.6607599877074269,0.9877465171719706,0.7570584758320679,0.6,0.17,0.4898979485566356,0.375632799419859,nan,nan,1.0,1.0,nan
128.0,1.0,1.0,128.0,0.6013007391785079,0.1719022719416978,0.8042897262900643,0.9860497937197917,0.8,0.585,0.4,0.4927220311697053,nan,nan,1.0,1.0,nan
128.0,1.0,2.0,128.0,0.7034869579514695,-0.7597992015787243,0.7125124678495841,0.6591214502299167,0.85,0.12,0.3570714214271425,0.32496153618543844,nan,nan,1.0,1.0,nan
192.0,1.0,0.0,192.0,0.8066126950087584,0.0892400122925732,0.6080825481402129,1.0031072628417927,0.9,0.545,0.3,0.4979708826829135,nan,nan,1.0,1.0,nan
192.0,1.0,1.0,192.0,0.40130073917850795,-0.1880977280583022,0.9273847903346298,0.9865943517584882,0.7,0.405,0.458257569495584,0.4908920451586072,nan,nan,1.0,1.0,nan
192.0,1.0,2.0,192.0,0.4034869579514695,-0.2597992015787244,0.9211823724474159,0.9720568846024279,0.7,0.37,0.458257569495584,0.4828043081829324,nan,nan,1.0,1.0,nan
256.0,1.0,0.0,256.0,0.7066126950087585,-0.20075998770742684,0.7238133197889117,0.9845439609002836,0.85,0.4,0.3570714214271425,0.48989794855663565,nan,nan,1.0,1.0,nan
256.0,1.0,1.0,256.0,0.7013007391785078,-0.1480977280583022,0.7186930689151204,0.9935396625595304,0.85,0.425,0.3570714214271425,0.49434299833212975,nan,nan,1.0,1.0,nan
256.0,1.0,2.0,256.0,0.20348695795146948,-0.5497992015787244,0.9776553283582585,0.8412990191044328,0.6,0.225,0.4898979485566356,0.4175823272122517,nan,nan,1.0,1.0,nan
384.0,1.0,0.0,384.0,0.4066126950087583,-0.19075998770742683,0.9208645265203106,0.9883950255060796,0.7,0.405,0.458257569495584,0.4908920451586072,nan,nan,1.0,1.0,nan
384.0,1.0,1.0,384.0,0.30130073917850786,-0.39809772805830224,0.963651133604151,0.9220896824315798,0.65,0.3,0.47696960070847283,0.45825756949558394,nan,nan,1.0,1.0,nan
384.0,1.0,2.0,384.0,0.6034869579514696,0.03020079842127563,0.8044059896638918,1.0035168502559288,0.8,0.515,0.4,0.4997749493522059,nan,nan,1.0,1.0,nan
512.0,1.0,0.0,512.0,0.8066126950087584,-0.28075998770742683,0.6080412506105983,0.9640866570313591,0.9,0.36,0.3,0.48,nan,nan,1.0,1.0,nan
512.0,1.0,1.0,512.0,0.2013007391785079,-0.2380977280583022,0.9822497459380104,0.97325015120039,0.6,0.38,0.4898979485566356,0.48538644398046393,nan,nan,1.0,1.0,nan
512.0,1.0,2.0,512.0,0.6034869579514696,0.05020079842127563,0.7988551374556135,1.0031917470809801,0.8,0.525,0.4,0.4993746088859544,nan,nan,1.0,1.0,nan
