num_params,width,run_count,train_fit_mean,train_fit_std,test_return_mean,test_return_std,test_return_sem,test_return_ci95,train_coverage_mean,train_coverage_std,test_coverage_mean,test_coverage_std
2.0,2.0,3.0,0.31856673202312263,0.17604332525379027,0.3118905137759244,0.13774259894352894,0.07952572657892511,0.1558704240946932,1.0,0.0,1.0,0.0
3.0,3.0,3.0,0.3519000653564559,0.2599466210887668,0.3185571804425911,0.21954280286968259,0.1267530963354562,0.24843606881749414,1.0,0.0,1.0,0.0
4.0,4.0,3.0,0.23523339868978932,0.10284622892940337,0.3385571804425911,0.11235436447619986,0.06486782257496332,0.1271409322469281,1.0,0.0,1.0,0.0
5.0,5.0,3.0,0.3019000653564559,0.2513280255421661,0.2602238471092578,0.21487587166499264,0.12405864234813899,0.2431549390023524,1.0,0.0,1.0,0.0
6.0,6.0,3.0,0.4185667320231226,0.10303564255271652,0.4118905137759244,0.07318198734354556,0.042251640092627815,0.08281321458155051,1.0,0.0,1.0,0.0
8.0,8.0,3.0,0.5019000653564559,0.001334894805735205,0.44855718044259113,0.003066753823939606,0.0017705911457898459,0.003470358645748098,1.0,0.0,1.0,0.0
10.0,10.0,3.0,0.551900065356456,0.1313760712981555,0.45355718044259113,0.06052149328917018,0.03494210044226054,0.06848651686683065,1.0,0.0,1.0,0.0
12.0,12.0,3.0,0.6352333986897892,0.116554941683809,0.4718905137759244,0.09395227183499072,0.05424336943490879,0.10631700409242123,1.0,0.0,1.0,0.0
16.0,16.0,3.0,0.6685667320231227,0.1049511330263754,0.4452238471092578,0.06522433695501288,0.037657288498691543,0.07380828545743542,1.0,0.0,1.0,0.0
24.0,24.0,3.0,0.9352333986897893,0.029959974396447982,0.5718905137759244,0.13236845748887682,0.07642296456341857,0.1497890105443004,1.0,0.0,1.0,0.0
32.0,32.0,3.0,0.9685667320231226,0.030090353684725592,0.7085571804425911,0.11777763228780752,0.06799894770588244,0.1332779375035296,1.0,0.0,1.0,0.0
48.0,48.0,3.0,0.9185667320231227,0.07582310025320414,0.5518905137759245,0.1266511929945167,0.07312210036857146,0.14331931672240006,1.0,0.0,1.0,0.0
64.0,64.0,3.0,0.7519000653564559,0.13358713696343347,0.3135571804425911,0.11245288973171894,0.06492470615775923,0.1272524240692081,1.0,0.0,1.0,0.0
96.0,96.0,3.0,0.7519000653564559,0.13190963027998365,0.3252238471092577,0.05710121413323424,0.03296740135087725,0.06461610664771941,1.0,0.0,1.0,0.0
128.0,128.0,3.0,0.7519000653564559,0.13119716534865256,0.2918905137759244,0.25586477876412544,0.14772359889561187,0.2895382538353993,1.0,0.0,1.0,0.0
192.0,192.0,3.0,0.7685667320231225,0.11668920989988903,0.4402238471092577,0.09216961184591127,0.05321415021034019,0.10429973441226677,1.0,0.0,1.0,0.0
256.0,256.0,3.0,0.7685667320231225,0.1444792783504126,0.35022384710925775,0.10915695126737686,0.0630217951981389,0.12352271858835225,1.0,0.0,1.0,0.0
384.0,384.0,3.0,0.7185667320231226,0.07669381609858575,0.4068905137759244,0.10709268481184082,0.06182999040435605,0.12118678119253785,1.0,0.0,1.0,0.0
512.0,512.0,3.0,0.7685667320231225,0.1540314339532955,0.4218905137759244,0.09001646856816299,0.051971032359328394,0.10186322342428365,1.0,0.0,1.0,0.0
