episode,run_count,train_fit_mean,test_return_mean,test_return_std,test_fit_mean,test_fit_sem,test_fit_ci95
1000.0,3.0,1.0,-0.08627788158528354,0.07961315522427252,0.18273889082247874,0.035938122056345716,0.0704387192304376
2000.0,3.0,1.0,-0.029833670652401504,0.2562091571158494,0.22687058263319027,0.11565520716324543,0.22668420603996103
3000.0,3.0,1.0,-0.11333434596562812,0.08351514361545867,0.16158441762166265,0.03769951607056182,0.07389105149830118
4000.0,3.0,1.0,-0.07185329121244584,0.14427332105920476,0.1940169575419655,0.06512632500362545,0.12764759700710587
5000.0,3.0,1.0,-0.15607223083256117,0.003552552324523853,0.12816920758653752,0.0016036553091086155,0.0031431644058528864
6000.0,3.0,1.0,-0.07458176220381202,0.06852550348681012,0.1918836645272289,0.03093305247536154,0.06062878285170862
7000.0,3.0,1.0,-0.07370545072901959,0.1841994457371802,0.19256882084878177,0.08314935069418986,0.1629727273606121
8000.0,3.0,1.0,-0.03384245483397249,0.11738455760537368,0.22373625893350887,0.05298848597154833,0.10385743250423472
9000.0,3.0,1.0,-0.11248315388994778,0.14066840607514064,0.16224993399145146,0.06349903270080076,0.12445810409356949
10000.0,3.0,1.0,-0.07247288548492233,0.14475339993041156,0.19353251913758904,0.06534303709123836,0.12807235269882716
11000.0,3.0,1.0,-0.07032932929830939,0.18975280659107377,0.19520848837239746,0.08565618966606513,0.16788613174548764
12000.0,3.0,0.9994787573891538,-0.1510867288421157,0.12962707019848144,0.13206719169735545,0.058514870532090354,0.1146891462428971
13000.0,3.0,1.0,-0.07397486737997762,0.17908123955565264,0.19235817369095556,0.08083894460686522,0.15844433142945583
14000.0,3.0,1.0,-0.03063848240518099,0.14107726744100307,0.22624132936430255,0.06368359654114969,0.1248198492206534
15000.0,3.0,1.0,-0.2031190379875274,0.07933994346678493,0.09138500669639082,0.03581479171652739,0.07019699176439369
16000.0,3.0,1.0,-0.07446325907417546,0.20192810272707423,0.19197631784825667,0.09115223208989731,0.17865837489619874
17000.0,3.0,1.0,-0.1579326721485749,0.14037501512296827,0.12671459565320986,0.06336659328397704,0.124198522836595
18000.0,3.0,1.0,-0.12387385106769849,0.1517266922828879,0.15334395888701804,0.06849084640732324,0.13424205895835353
19000.0,3.0,1.0,-0.0801875071544061,0.1963236401903029,0.18750073482655072,0.08862232534095216,0.17369975766826623
20000.0,3.0,1.0,-0.03483560703844344,0.337487521167811,0.22295974906146976,0.1523450200416696,0.29859623928167245
