num_params,width,run_count,train_fit_mean,train_fit_std,test_return_mean,test_return_std,test_return_sem,test_return_ci95,train_coverage_mean,train_coverage_std,test_coverage_mean,test_coverage_std
8.0,4.0,5.0,0.745,0.08838834764831845,0.7865743336381104,0.09364135902806868,0.04187768885844504,0.08208027016255227,1.0,0.0,1.0,0.0
16.0,8.0,5.0,0.8960000000000001,0.04546977017755867,0.9155743336381104,0.040644171343662876,0.01817662600271583,0.03562618696532303,1.0,0.0,1.0,0.0
24.0,12.0,5.0,0.9369999999999999,0.04410215414239988,0.9505743336381103,0.03138936344567805,0.014037750086996627,0.027513990170513387,1.0,0.0,1.0,0.0
32.0,16.0,5.0,0.9640000000000001,0.00961769203083568,0.9705743336381103,0.026536388081533108,0.011867433525524652,0.023260169710028318,1.0,0.0,1.0,0.0
48.0,24.0,5.0,0.974,0.010839741694339409,0.9725743336381104,0.022012906111693435,0.009844470889613419,0.0192951629436423,1.0,0.0,1.0,0.0
64.0,32.0,5.0,0.9790000000000001,0.010246950765959606,0.9715743336381102,0.031046225397225364,0.013884294086595264,0.027213216409726716,1.0,0.0,1.0,0.0
96.0,48.0,5.0,0.9880000000000001,0.004472135954999584,0.9675743336381103,0.026476238421943358,0.01184053377999142,0.023207446208783185,1.0,0.0,1.0,0.0
128.0,64.0,5.0,0.99,0.0035355339059327407,0.9695743336381103,0.03374887761730132,0.015092956903321375,0.029582195530509895,1.0,0.0,1.0,0.0
192.0,96.0,5.0,0.9960000000000001,0.0022360679774997916,0.9695743336381103,0.032375750450883985,0.01447887576614921,0.02837859650165245,1.0,0.0,1.0,0.0
256.0,128.0,5.0,0.998,0.002738612787525833,0.9505743336381103,0.02728207119375516,0.012200913151245074,0.023913789776440344,1.0,0.0,1.0,0.0
384.0,192.0,5.0,0.9970000000000001,0.004472135954999583,0.8645743336381102,0.04051148994764691,0.018117289078547576,0.03550988659395325,1.0,0.0,1.0,0.0
512.0,256.0,5.0,0.9809999999999999,0.018841443681416787,0.6615743336381104,0.07915818370268456,0.03540061594692373,0.06938520725597051,1.0,0.0,1.0,0.0
768.0,384.0,5.0,0.99,0.009354143466934861,0.8515743336381105,0.0572247108720068,0.025591668700515692,0.05015967065301075,1.0,0.0,1.0,0.0
1024.0,512.0,5.0,0.9949999999999999,0.008660254037844393,0.8885743336381102,0.043747969613259836,0.019564686786568836,0.03834678610167492,1.0,0.0,1.0,0.0
