width,depth,run,num_params,train_return,test_return,fim_trace
10.0,2.0,0.0,4204.0,0.9589949493661166,-0.17845870556294582,nan
10.0,2.0,1.0,4204.0,0.9589949493661166,-0.04290899709749627,nan
10.0,2.0,2.0,4204.0,0.9589949493661166,-0.048632000377867295,nan
12.0,2.0,0.0,5260.0,0.9589949493661166,-0.16946979488788608,nan
12.0,2.0,1.0,5260.0,0.9589949493661166,-0.2898106613770204,nan
12.0,2.0,2.0,5260.0,0.9589949493661166,0.08556538077267004,nan
16.0,2.0,0.0,7588.0,0.9589949493661166,0.22460252964696786,nan
16.0,2.0,1.0,7588.0,0.9589949493661166,-0.28644440408747757,nan
16.0,2.0,2.0,7588.0,0.9589949493661166,-0.029028620814659175,nan
24.0,2.0,0.0,13108.0,0.9589949493661166,-0.16270820350085477,nan
24.0,2.0,1.0,13108.0,0.9589949493661166,0.08582404118513033,nan
24.0,2.0,2.0,13108.0,0.9589949493661166,0.09163554098417652,nan
2.0,2.0,0.0,700.0,0.9589949493661166,-0.17195490743670322,nan
2.0,2.0,1.0,700.0,0.9589949493661166,-0.036445527292621537,nan
2.0,2.0,2.0,700.0,0.455242151952546,-0.0349762737709928,nan
32.0,2.0,0.0,19780.0,0.9589949493661166,-0.04432145471173765,nan
32.0,2.0,1.0,19780.0,0.9589949493661166,-0.1669801956685731,nan
32.0,2.0,2.0,19780.0,0.9589949493661166,-0.03147398766937312,nan
3.0,2.0,0.0,1075.0,0.9589949493661166,-0.2910467293545202,nan
3.0,2.0,1.0,1075.0,0.9589949493661166,-0.16513619404066915,nan
3.0,2.0,2.0,1075.0,0.9589949493661166,-0.05013104068070824,nan
4.0,2.0,0.0,1468.0,0.9589949493661166,-0.039251224556998504,nan
4.0,2.0,1.0,1468.0,0.9589949493661166,-0.04074948378254405,nan
4.0,2.0,2.0,1468.0,0.9589949493661166,-0.28058706898020713,nan
5.0,2.0,0.0,1879.0,0.9589949493661166,-0.17221778681549416,nan
5.0,2.0,1.0,1879.0,0.9589949493661166,-0.1595269497205675,nan
5.0,2.0,2.0,1879.0,0.9589949493661166,-0.04800199909011126,nan
6.0,2.0,0.0,2308.0,0.7031959594928933,-0.16811896708050827,nan
6.0,2.0,1.0,2308.0,0.9589949493661166,0.21601452588141118,nan
6.0,2.0,2.0,2308.0,0.9589949493661166,-0.03724241628117644,nan
8.0,2.0,0.0,3220.0,0.9589949493661166,0.0882427597094942,nan
8.0,2.0,1.0,3220.0,0.9589949493661166,0.20197525897937105,nan
8.0,2.0,2.0,3220.0,0.9589949493661166,-0.15715261672616235,nan
