num_params,train_mean,train_std,test_mean,test_std
700.0,0.7910773502282598,0.23747134606188589,-0.08112556950010585,0.06422884164702623
1075.0,0.9589949493661166,0.0,-0.16877132135863251,0.09838700075131072
1468.0,0.9589949493661166,0.0,-0.12019592577324989,0.11341531439684482
1879.0,0.9589949493661166,0.0,-0.1265822452087243,0.05580564873791208
2308.0,0.8737286194083755,0.12058480024001682,0.0035510475065754893,0.15945263689600375
3220.0,0.9589949493661166,0.0,0.04435513398756764,0.14986171524847655
4204.0,0.9589949493661166,0.0,-0.08999990101276979,0.06259344091554357
5260.0,0.9589949493661166,0.0,-0.12457169183074546,0.15650063471349193
7588.0,0.9589949493661166,0.0,-0.030290165085056293,0.20863594407532673
13108.0,0.9589949493661166,0.0,0.00491712622281736,0.11855274988011574
19780.0,0.9589949493661166,0.0,-0.08092521268322796,0.061075687605938005
