num_params,width,run_count,train_fit_mean,train_fit_std,test_return_mean,test_return_std,test_return_sem,test_return_ci95
700.0,2.0,3.0,0.8687078578797965,0.22739782110379353,0.18676656020320107,0.061504256765143005,0.035509499199663175,0.06959861843133983
1075.0,3.0,3.0,0.9999960511072062,1.3597399555105182e-16,0.11823978001670639,0.09421342813273513,0.05439414809371209,0.10661253026367569
1468.0,4.0,3.0,0.9999960511072062,1.3597399555105182e-16,0.15621897906704466,0.10860424131727939,0.06270268795966634,0.12289726840094602
1879.0,5.0,3.0,0.9999960511072062,1.3597399555105182e-16,0.15122576606041885,0.05343837536078054,0.03085266039960291,0.0604712143832217
2308.0,6.0,3.0,0.9333296477000591,0.11546959785906168,0.2529718901536947,0.15268866244585289,0.08815484036531707,0.17278348711602146
3220.0,8.0,3.0,0.9999960511072062,1.3597399555105182e-16,0.2848750070270271,0.1435045873092403,0.08285241211293604,0.16239072774135463
4204.0,10.0,3.0,0.9999960511072062,1.3597399555105182e-16,0.1798280680119079,0.05993822966697767,0.03460535303297917,0.06782649194463918
5260.0,12.0,3.0,0.9999960511072062,1.3597399555105182e-16,0.1527977389908167,0.14986188407730863,0.08652279911329863,0.16958468626206533
7588.0,16.0,3.0,0.9999960511072062,1.3597399555105182e-16,0.22651277163013583,0.19978561571086695,0.11534627901088416,0.22607870686133297
13108.0,24.0,3.0,0.9999960511072062,1.3597399555105182e-16,0.254039973590944,0.11352374699377762,0.06554296588627248,0.12846421313709405
19780.0,32.0,3.0,0.9999960511072062,1.3597399555105182e-16,0.18692321135009546,0.05848485939178063,0.03376624931336196,0.06618184865418944
