width,depth,run,num_params,train_return,test_return,train_return_std,test_return_std,train_entropy,test_entropy,train_coverage,test_coverage,fim_trace
10.0,2.0,0.0,4204.0,0.9589872741500863,0.06657047622218722,0.07593918555839571,0.5624851408597071,0.262398561801196,0.24633381685386763,0.25296033681561925,0.16056584031678545,nan
10.0,2.0,1.0,4204.0,0.9589872741500863,0.0918920771328517,0.07593918555839571,0.5800956969411604,0.23298013447221946,0.2474705629150551,0.25296033681561925,0.15399723120432002,nan
10.0,2.0,2.0,4204.0,0.9589872741500863,-0.0693765805172662,0.07593918555839571,0.4918201425699046,0.30836811462483765,0.2842496307251971,0.25296033681561925,0.12376774508610042,nan
10.0,2.0,3.0,4204.0,0.9589872741500863,-0.017471060883186083,0.07593918555839571,0.523910779012335,0.2263119869516231,0.2078029308209793,0.25296033681561925,0.13653428758394806,nan
10.0,2.0,4.0,4204.0,0.9589872741500863,0.030823745951419058,0.07593918555839571,0.559417897322888,0.23461679439956892,0.1515855915599865,0.25296033681561925,0.13393353645394096,nan
12.0,2.0,0.0,5260.0,0.9589872741500863,-0.16338628454868365,0.07593918555839571,0.3896958437587411,0.254201527510265,0.18498978525209234,0.25296033681561925,0.11857704393008771,nan
12.0,2.0,1.0,5260.0,0.9589872741500863,0.11397833838024259,0.07593918555839571,0.5854469985023072,0.3867504423184853,0.3647738488628693,0.25296033681561925,0.16282958464535605,nan
12.0,2.0,2.0,5260.0,0.9589872741500863,0.08270844041954312,0.07593918555839571,0.5830860905754377,0.2785687150017891,0.15994264243069672,0.25296033681561925,0.14760314265273664,nan
12.0,2.0,3.0,5260.0,0.720227887641731,0.06597259375440909,0.4877848390070197,0.5625568750155182,0.24196004075557934,0.22178624770162136,0.24968164829102907,0.1596308561471765,nan
12.0,2.0,4.0,5260.0,0.9589872741500863,0.06409091654624291,0.07593918555839571,0.5698087495173658,0.19804315472401213,0.23650010151083617,0.25296033681561925,0.14956324891612816,nan
16.0,2.0,0.0,7588.0,0.9589872741500863,-0.011958135683552902,0.07593918555839571,0.5302814254067715,0.20560032775829312,0.17475219845055398,0.25296033681561925,0.13360253237292674,nan
16.0,2.0,1.0,7588.0,0.9589872741500863,-0.13957453612324752,0.07593918555839571,0.4194564111957758,0.19829625063820067,0.1808945115903091,0.25296033681561925,0.11782710603370765,nan
16.0,2.0,2.0,7588.0,0.7202145201120067,-0.0415771626149488,0.48858647257821575,0.5072902933097917,0.2347225339314459,0.3180216265857614,0.24968164829102907,0.13166238748082165,nan
16.0,2.0,3.0,7588.0,0.9589872741500863,0.18386051240851914,0.07593918555839571,0.6124745625645129,0.27574869969804555,0.2454773263417048,0.25296033681561925,0.15995953919834482,nan
16.0,2.0,4.0,7588.0,0.9589872741500863,-0.03717966727641908,0.07593918555839571,0.5062827900901038,0.20948812143854276,0.16856764012272984,0.25296033681561925,0.14002774737888268,nan
24.0,2.0,0.0,13108.0,0.9589872741500863,0.029778418174833378,0.07593918555839571,0.5604769348648938,0.26492630475435625,0.17795150497826268,0.25296033681561925,0.13795405540770672,nan
24.0,2.0,1.0,13108.0,0.9576486742217988,-0.044663939352521616,0.07741295993540143,0.5118049956688385,0.1870434615193827,0.1047786429752359,0.25296033681561925,0.1182092159856727,nan
24.0,2.0,2.0,13108.0,0.9589872741500863,0.11758146759465575,0.07593918555839571,0.5860227127602323,0.14740093594799483,0.2209606375909762,0.25296033681561925,0.16074930721774158,nan
24.0,2.0,3.0,13108.0,0.9589872741500863,0.07968585227313484,0.07593918555839571,0.5782232994362193,0.22967148930391498,0.27286365816894387,0.25296033681561925,0.14731374610397074,nan
24.0,2.0,4.0,13108.0,0.9589872741500863,-0.022348125011542,0.07593918555839571,0.5255598163280556,0.2695008875166033,0.1935998301901288,0.25296033681561925,0.13165745999213135,nan
2.0,2.0,0.0,700.0,0.7062481622401217,-0.14528371363451242,0.5179008147242679,0.4202819864462299,0.2764347487247245,0.11720581704914598,0.20205124590652826,0.10921094763921427,nan
2.0,2.0,1.0,700.0,0.4673243593533894,-0.15167516876318582,0.6171570339411628,0.42245999500346026,0.4686981534577041,0.2014146242038414,0.17788702303262802,0.10267945806656105,nan
2.0,2.0,2.0,700.0,0.9589872741500863,-0.046169633059549346,0.07593918555839571,0.5116730178245148,0.20994539923209288,0.12390434553265618,0.25296033681561925,0.11578138618265696,nan
2.0,2.0,3.0,700.0,0.9540393634454978,0.0028739329679058584,0.08230545716282829,0.5403015346178139,0.27358923929927365,0.23237133619368847,0.25296033681561925,0.12952309507662896,nan
2.0,2.0,4.0,700.0,-0.2930369156314818,-0.29784843596293736,0.11486727552516703,0.1124434948657685,0.6709340572357178,0.6709342181682587,0.10945763418045146,0.09234340597692593,nan
32.0,2.0,0.0,19780.0,0.9589872741500863,0.010740306405201511,0.07593918555839571,0.5415949644726914,0.12395116618260676,0.16100343834312905,0.25296033681561925,0.13663952228605813,nan
32.0,2.0,1.0,19780.0,0.9589872741500863,0.2633159211273532,0.07593918555839571,0.6227456104715658,0.22945310610967426,0.18240801525684464,0.25296033681561925,0.1702692209616856,nan
32.0,2.0,2.0,19780.0,0.9589872741500863,0.05643599954976543,0.07593918555839571,0.5666107088804017,0.152318159591219,0.14634811499936876,0.25296033681561925,0.1462931627821818,nan
32.0,2.0,3.0,19780.0,0.9562269273851828,-0.032848771796723075,0.07479071921167069,0.5062051523489046,0.13529102298354306,0.14747609556449676,0.25618614326723216,0.14065881973493588,nan
32.0,2.0,4.0,19780.0,0.9589872741500863,-0.09022742345196107,0.07593918555839571,0.4688084215775318,0.23938046246829406,0.13625741680539777,0.25296033681561925,0.12762562603063424,nan
3.0,2.0,0.0,1075.0,0.9589872741500863,-0.09272449883284703,0.07593918555839571,0.4712015557368684,0.2630300028326149,0.18980506984398673,0.25296033681561925,0.11594015960464979,nan
3.0,2.0,1.0,1075.0,0.7062481622401217,-0.06746482525222992,0.5179008147242679,0.48409917101174116,0.34356136504336193,0.14745663040221182,0.20205124590652826,0.12627157406478498,nan
3.0,2.0,2.0,1075.0,0.720227887641731,-0.037627839342096424,0.4877848390070197,0.5076648827432342,0.2585549451994926,0.1434000867946836,0.24968164829102907,0.13355641188163378,nan
3.0,2.0,3.0,1075.0,0.7062481622401217,-0.09578214428310372,0.5179008147242679,0.467602477225744,0.33358564556775877,0.18291733120142145,0.20205124590652826,0.11988311179705352,nan
3.0,2.0,4.0,1075.0,0.7171987519968135,-0.08583043678824566,0.4993771655644801,0.46287340531910254,0.3617980270488519,0.3103620242660867,0.2495705063071446,0.136406564575335,nan
4.0,2.0,0.0,1468.0,0.9589872741500863,0.08458542207129563,0.07593918555839571,0.5803334689324647,0.1665066573014039,0.19990757574330134,0.25296033681561925,0.14412255625962087,nan
4.0,2.0,1.0,1468.0,0.9589872741500863,-0.019979975847290405,0.07593918555839571,0.5269312544106014,0.21777186098396276,0.21663455111658225,0.25296033681561925,0.13264053748319454,nan
4.0,2.0,2.0,1468.0,0.9589872741500863,-0.14606920130900555,0.07593918555839571,0.4216866864582574,0.29215474211274084,0.15866781100899008,0.25296033681561925,0.11766800319851066,nan
4.0,2.0,3.0,1468.0,0.9589872741500863,0.002299738875974484,0.07593918555839571,0.5421840871039558,0.24847157076281812,0.23519318793331087,0.25296033681561925,0.12291923730200303,nan
4.0,2.0,4.0,1468.0,0.9589872741500863,-0.0422981695981835,0.07593918555839571,0.506860390103759,0.22027519803564896,0.16039776439630715,0.25296033681561925,0.1295310306128078,nan
5.0,2.0,0.0,1879.0,0.9589872741500863,0.05896771006797709,0.07593918555839571,0.5650022229786192,0.24155493355959023,0.19768487685405187,0.25296033681561925,0.1431599583345817,nan
5.0,2.0,1.0,1879.0,0.9589872741500863,-0.01907040230608419,0.07593918555839571,0.5311700044403065,0.289311063965059,0.1696646554800525,0.25296033681561925,0.11989621525346501,nan
5.0,2.0,2.0,1879.0,0.9589872741500863,0.11020938173790495,0.07593918555839571,0.5907698677346751,0.1795453161834205,0.20330113020278281,0.25296033681561925,0.14113220403923749,nan
5.0,2.0,3.0,1879.0,0.9589872741500863,0.08278742784949936,0.07593918555839571,0.5826393597201848,0.12814816405175405,0.14050424154637778,0.25296033681561925,0.13990228692095355,nan
