num_params,width,run_count,train_fit_mean,train_fit_std,test_return_mean,test_return_std,test_return_sem,test_return_ci95,train_entropy_mean,train_entropy_std,test_entropy_mean,test_entropy_std,train_coverage_mean,train_coverage_std,test_coverage_mean,test_coverage_std
700.0,2.0,3.0,0.9492902889665116,0.11782676956246986,0.003124478006445327,0.0007688296336218138,0.0004438839959325156,0.0008700126320277306,0.11136673701187468,0.09236958170588876,0.26066469450689395,0.09408993974995003,0.1341064002518349,0.013699836896025018,0.05468144263923894,0.020449961497836847
1075.0,3.0,3.0,1.0173176060911475,0.0,0.0024584238282362885,0.0016718429870776726,0.0009652389986320824,0.0018918684373188815,0.052043260485218845,0.01728267861785018,0.15063020701288118,0.03766838853047778,0.14201600477160892,0.0,0.059532566006696264,0.004488995755263667
1468.0,4.0,3.0,1.0173176060911475,0.0,0.0017654030591445588,0.0,0.0,0.0,0.05297893268007212,0.03126502341300758,0.2795623966162181,0.07133715110754463,0.14201600477160892,0.0,0.04893490533890118,0.0012363876496959444
1879.0,5.0,3.0,0.9477960097123134,0.12041493715143724,-0.0008287424681922287,0.005385000191403506,0.0031090313100930007,0.006093701367782281,0.06096078159781685,0.022109829982703624,0.2990138238812565,0.23211102369767356,0.14201600477160892,0.0,0.06533929628042028,0.02272358077362082
2308.0,6.0,3.0,1.0173176060911475,0.0,0.003066893919664695,0.0024173711400145275,0.00139566987841862,0.002735512961700495,0.05376476904316451,0.0133601154144753,0.27545685982284,0.11613864641463252,0.14201600477160892,0.0,0.06651539568477956,0.024279015970484846
3220.0,8.0,3.0,1.0173176060911475,0.0,0.005243001913784959,0.006556890070789319,0.0037856222474169977,0.007419819604937316,0.033427484087396146,0.029072723821742114,0.29355440780710385,0.07797085739961468,0.14201600477160892,0.0,0.061530838923637844,0.00896969515561915
4204.0,10.0,3.0,1.0173176060911475,0.0,0.0023891854605514098,0.00459594339939442,0.0026534691588206523,0.005200799551288478,0.03570054274490886,0.03514619248085955,0.1785490534473264,0.04093862442034782,0.14201600477160892,0.0,0.07174463086856576,0.011690952316702636
5260.0,12.0,3.0,1.0173176060911475,0.0,0.004923466978741358,0.00364122096748176,0.002102259905754504,0.004120429415278828,0.0438768888470781,0.024547460563227645,0.3747854211659558,0.08401452960157824,0.14201600477160892,0.0,0.06946772078997,0.007601218028992268
7588.0,16.0,3.0,1.0162868891650165,0.0017852540842798396,0.0015277262326587326,0.0017516137726560368,0.001011294683159219,0.001982137578992069,0.050815007601559846,0.02361971043163655,0.13998412088391157,0.012631938618359494,0.14312711588272,0.001924500897298749,0.05473312873686618,0.00564749558469119
13108.0,24.0,3.0,1.0173176060911475,0.0,0.002225125912551482,0.001502365416928407,0.0008673910778848002,0.0017000865126542083,0.028645237572950937,0.022154713535048488,0.18554128519330104,0.13336858821157446,0.14201600477160892,0.0,0.0541918683679427,0.009952212571944272
19780.0,32.0,3.0,0.9513517228187732,0.11425626139391025,0.0018819823213277436,0.0007184861746117014,0.00041481818632109024,0.0008130436451893369,0.07784671004780115,0.043664720677425724,0.3152953766319013,0.05050431846059841,0.14534933810494224,0.005773502691896263,0.066444162700584,0.010099474541034402
