width,depth,run,num_params,train_return,test_return,train_return_std,test_return_std,train_entropy,test_entropy,train_coverage,test_coverage,train_optimal_action_rate,test_optimal_action_rate,fim_trace
10.0,2.0,0.0,204.0,1.0107119775909947,0.4863808179030161,0.26958913661076117,0.9270735181150691,0.013118076729006134,0.14810470470687143,1.0,1.0,1.0,0.742,nan
10.0,2.0,1.0,204.0,0.9362058074051862,0.4561086107478253,0.5148874030136289,0.9464795482127555,0.04235124215155643,0.1171261648788995,1.0,1.0,0.95,0.726,nan
10.0,2.0,2.0,204.0,1.0239397416388158,0.40831303630814864,0.3183300133182435,0.9658797277325583,0.06681171573427865,0.22531588446120776,1.0,1.0,1.0,0.7,nan
10.0,2.0,3.0,204.0,0.9754965805613532,0.4035035785070112,0.30736296822843884,0.9642328768314247,0.0888581742416136,0.2544193140208954,1.0,1.0,1.0,0.704,nan
10.0,2.0,4.0,204.0,0.8927228384220893,0.6023284237735307,0.5278368319688477,0.8677601070502252,0.03790913730767637,0.14231590019541016,1.0,1.0,0.95,0.796,nan
128.0,2.0,0.0,17668.0,1.0107119775909947,0.47838081790301623,0.26958913661076117,0.9313304844319193,0.002511604279934332,0.15528989613054964,1.0,1.0,1.0,0.738,nan
128.0,2.0,1.0,17668.0,1.036205807405186,0.49210861074782536,0.28945247634326393,0.927620396341543,0.03211780074035886,0.20291159989919666,1.0,1.0,1.0,0.744,nan
128.0,2.0,2.0,17668.0,1.0239397416388158,0.33231303630814873,0.3183300133182435,0.9955741884080029,0.03278448802454932,0.19449971185288722,1.0,1.0,1.0,0.662,nan
128.0,2.0,3.0,17668.0,0.9754965805613532,0.2955035785070112,0.30736296822843884,1.0046919756187886,0.02728731014700312,0.17348236638220202,1.0,1.0,1.0,0.65,nan
128.0,2.0,4.0,17668.0,0.9927228384220893,0.4943284237735308,0.3294051450093657,0.9220573029358051,0.027520083572017028,0.1777034121881109,1.0,1.0,1.0,0.742,nan
12.0,2.0,0.0,268.0,1.0107119775909947,0.37838081790301614,0.26958913661076117,0.972280647085777,0.022116335864244732,0.1789935165412678,1.0,1.0,1.0,0.688,nan
12.0,2.0,1.0,268.0,0.9362058074051862,0.4401086107478253,0.5148874030136289,0.9563033338058459,0.031153749435316003,0.13676938705499078,1.0,1.0,0.95,0.718,nan
12.0,2.0,2.0,268.0,1.0239397416388158,0.4483130363081487,0.3183300133182435,0.9499836064388467,0.022740240209480254,0.16207878963677294,1.0,1.0,1.0,0.72,nan
12.0,2.0,3.0,268.0,0.9754965805613532,0.5115035785070111,0.30736296822843884,0.9066712729447811,0.01278142283453001,0.15965623165251372,1.0,1.0,1.0,0.758,nan
12.0,2.0,4.0,268.0,0.8927228384220893,0.5303284237735307,0.5278368319688477,0.9103263122762205,0.05930831568199758,0.17025285715519625,1.0,1.0,0.95,0.76,nan
16.0,2.0,0.0,420.0,1.0107119775909947,0.44638081790301615,0.26958913661076117,0.945780618011645,0.0415121599216306,0.17315157019785002,1.0,1.0,1.0,0.722,nan
16.0,2.0,1.0,420.0,1.036205807405186,0.5361086107478253,0.28945247634326393,0.8991204435747479,0.01538604312412355,0.1553292636158326,1.0,1.0,1.0,0.766,nan
16.0,2.0,2.0,420.0,1.0239397416388158,0.5203130363081487,0.3183300133182435,0.9127924022029044,0.04659552857729068,0.14512139299629556,1.0,1.0,1.0,0.756,nan
16.0,2.0,3.0,420.0,0.9754965805613532,0.47950357850701114,0.30736296822843884,0.9236671339546788,0.029028908190083656,0.17010850043328643,1.0,1.0,1.0,0.742,nan
16.0,2.0,4.0,420.0,0.9927228384220893,0.45432842377353083,0.3294051450093657,0.946876971700107,0.016401588195298765,0.1721225554290439,1.0,1.0,1.0,0.722,nan
24.0,2.0,0.0,820.0,1.0107119775909947,0.4663808179030161,0.26958913661076117,0.9349487796203225,0.008322965177558216,0.1695384548722102,1.0,1.0,1.0,0.732,nan
24.0,2.0,1.0,820.0,1.036205807405186,0.3161086107478253,0.28945247634326393,0.9972574100300448,0.06858976423831249,0.18686825083451186,1.0,1.0,1.0,0.656,nan
24.0,2.0,2.0,820.0,1.0239397416388158,0.48831303630814865,0.3183300133182435,0.929692531322365,0.007585683112308054,0.1310496179781448,1.0,1.0,1.0,0.74,nan
24.0,2.0,3.0,820.0,0.9754965805613532,0.4515035785070111,0.30736296822843884,0.940908746839911,0.02078472348633085,0.17237191626199533,1.0,1.0,1.0,0.728,nan
24.0,2.0,4.0,820.0,0.9927228384220893,0.28232842377353073,0.3294051450093657,1.008569504462967,0.07839876407890237,0.16388807439141284,1.0,1.0,1.0,0.636,nan
2.0,2.0,0.0,28.0,0.6107119775909947,0.09438081790301613,0.836490731905318,1.0396134849909962,0.054145997065644824,0.10899894021460782,1.0,1.0,0.8,0.546,nan
