num_params,width,run_count,train_fit_mean,train_fit_std,test_return_mean,test_return_std,test_return_sem,test_return_ci95,train_coverage_mean,train_coverage_std,test_coverage_mean,test_coverage_std
2.0,2.0,3.0,0.15,0.0,0.30402933882765654,0.01038557280323792,0.005996113253637869,0.011752381977130223,1.0,0.0,1.0,0.0
3.0,3.0,3.0,0.13333333333333333,0.07637626158259733,0.2006960054943232,0.12668893829202615,0.0731438926262492,0.14336202954744842,1.0,0.0,1.0,0.0
4.0,4.0,3.0,0.5,0.19999999999999998,0.3606960054943232,0.15805103539149137,0.09125080782897661,0.17885158334479415,1.0,0.0,1.0,0.0
5.0,5.0,3.0,0.5,0.0,0.42912476211381634,0.029188573605650636,0.0168520308284836,0.033029980423827855,1.0,0.0,1.0,0.0
6.0,6.0,3.0,0.48333333333333334,0.02886751345948128,0.4127540672778356,0.03830873122883505,0.02211755628728094,0.04335041032307064,1.0,0.0,1.0,0.0
8.0,8.0,3.0,0.3833333333333333,0.20207259421636903,0.29314652846100614,0.1814723995868339,0.10477313875194588,0.20535535195381394,1.0,0.0,1.0,0.0
10.0,10.0,3.0,0.55,0.04999999999999999,0.37165578814439654,0.04181602331165232,0.024142492315422138,0.04731928493822739,1.0,0.0,1.0,0.0
12.0,12.0,3.0,0.5833333333333334,0.14433756729740646,0.4546510525504021,0.013426193120870577,0.00775161621252653,0.015193167776551999,1.0,0.0,1.0,0.0
16.0,16.0,3.0,0.43333333333333335,0.11547005383792516,0.3326070208558707,0.1412775270498611,0.08156661827268195,0.15987057181445663,1.0,0.0,1.0,0.0
24.0,24.0,3.0,0.65,0.18027756377319948,0.39681015008034987,0.2057797646023658,0.11880700248695372,0.2328617248744293,1.0,0.0,1.0,0.0
32.0,32.0,3.0,0.8333333333333334,0.05773502691896256,0.5314656830786931,0.07142330312609306,0.04123626328626207,0.08082307604107367,1.0,0.0,1.0,0.0
48.0,48.0,3.0,0.8333333333333334,0.07637626158259735,0.5058504118109015,0.04497856748030376,0.025968388042517124,0.05089804056333356,1.0,0.0,1.0,0.0
64.0,64.0,3.0,0.9333333333333332,0.05773502691896257,0.596340202262925,0.03390558604187183,0.019575399228306718,0.03836778248748116,1.0,0.0,1.0,0.0
96.0,96.0,3.0,0.9666666666666667,0.028867513459481315,0.6699579085245001,0.04462125216358943,0.02576209194822653,0.050493700218524,1.0,0.0,1.0,0.0
128.0,128.0,3.0,1.0,0.0,0.6572376427758999,0.04294293783512551,0.02479311671890308,0.048594508769050034,1.0,0.0,1.0,0.0
192.0,192.0,3.0,1.0,0.0,0.577884703994718,0.028027315467594884,0.016181578129878468,0.031715893134561794,1.0,0.0,1.0,0.0
256.0,256.0,3.0,0.9833333333333334,0.028867513459481315,0.5227334437851378,0.09856474658330734,0.05690638297247974,0.11153651062606029,1.0,0.0,1.0,0.0
384.0,384.0,3.0,1.0,0.0,0.5225705163885422,0.04732758786635279,0.027324595594734453,0.05355620736567953,1.0,0.0,1.0,0.0
512.0,512.0,3.0,1.0,0.0,0.4880148215303091,0.05020041856479228,0.02898322517181471,0.05680712133675683,1.0,0.0,1.0,0.0
768.0,768.0,3.0,1.0,0.0,0.5926370765352516,0.05589569185779013,0.03227139274063551,0.06325192977164559,1.0,0.0,1.0,0.0
1024.0,1024.0,3.0,1.0,0.0,0.49996148974540516,0.07379139526872606,0.04260348192227707,0.08350282456766306,1.0,0.0,1.0,0.0
