width,depth,run,num_params,train_return,test_return,train_return_std,test_return_std,train_entropy,test_entropy,train_coverage,test_coverage,fim_trace
8.0,1.0,0.0,2636.0,0.9589949493661166,-0.038399693849086286,0.0,0.4941207177132901,0.07644375937362774,0.13055215619473418,0.25296033681561925,0.14037553925015853,nan
8.0,1.0,1.0,2636.0,0.9589949493661166,-0.1641330377123677,0.0,0.37454715877477285,0.16101447635446675,0.11373612306245025,0.25296033681561925,0.12397040533164373,nan
8.0,1.0,2.0,2636.0,0.9589949493661166,-0.04000226497500984,0.0,0.49745149671473293,0.26547524867263356,0.20903921415510354,0.25296033681561925,0.13475799963841734,nan
8.0,2.0,0.0,3220.0,0.9589949493661166,0.08824275970949419,0.0,0.5704259739859557,0.16127842888413949,0.11560063550572319,0.25296033681561925,0.15669040590247021,nan
8.0,2.0,1.0,3220.0,0.9589949493661166,0.20197525897937105,0.0,0.6102685127707929,0.15968461089901861,0.17253399806645853,0.25296033681561925,0.15438687807931706,nan
8.0,2.0,2.0,3220.0,0.9589949493661166,-0.15715261672616238,0.0,0.3728174710016419,0.11192873517502125,0.12778929777802683,0.25296033681561925,0.12824192130699555,nan
8.0,3.0,0.0,3804.0,0.9589949493661166,0.20708399068101155,0.0,0.6141740573372456,0.19097622539326017,0.18876606925452008,0.25296033681561925,0.15338831078280152,nan
8.0,3.0,1.0,3804.0,0.9589949493661166,-0.16079322812111355,0.0,0.37415843760323075,0.2169439293928717,0.2241392945643229,0.25296033681561925,0.11853311938880548,nan
8.0,3.0,2.0,3804.0,0.9589949493661166,-0.02956237880448038,0.0,0.49484310988718383,0.18716767999046302,0.27619435758115857,0.25296033681561925,0.15079446985865208,nan
8.0,4.0,0.0,4388.0,0.9589949493661166,0.3375567672779606,0.0,0.6157911135856184,0.36129875551643115,0.3652803131396649,0.25296033681561925,0.18862447382203446,nan
8.0,4.0,1.0,4388.0,0.9589949493661166,-0.2930130884150515,0.0,0.025393749130561104,0.2661781619206262,0.07487983420806862,0.25296033681561925,0.09308722421944912,nan
8.0,4.0,2.0,4388.0,0.9589949493661166,0.08235980360229822,0.0,0.5719351057718528,0.31781140232841215,0.3432661959189153,0.25296033681561925,0.1456984220864223,nan
8.0,5.0,0.0,4972.0,0.7031959594928933,-0.030019034003942548,0.5115979797464467,0.49256912352666593,0.4928103042500359,0.3232920998391984,0.20205124590652826,0.1512285545567867,nan
8.0,5.0,1.0,4972.0,0.4547459183729224,0.19678882428180358,0.617576414613093,0.6182946531249766,0.520738019474915,0.5288955364054778,0.1762936701489525,0.13242053216298807,nan
8.0,5.0,2.0,4972.0,0.9589949493661166,-0.04852415504491439,0.0,0.5039050909217203,0.2970010223079173,0.1614550616664995,0.25296033681561925,0.11404151917171386,nan
