num_params,width,run_count,train_fit_mean,train_fit_std,test_return_mean,test_return_std,test_return_sem,test_return_ci95,train_coverage_mean,train_coverage_std,test_coverage_mean,test_coverage_std
16.0,16.0,3.0,0.4366666666666667,0.13316656236958785,0.4354457219709505,0.08233298961578583,0.04753497371786062,0.09316854848700681,1.0,0.0,1.0,0.0
24.0,24.0,3.0,0.66,0.045825756949558386,0.5290402472535322,0.10171303978820442,0.05872405090181494,0.11509913976755728,1.0,0.0,1.0,0.0
32.0,32.0,3.0,0.6533333333333333,0.011547005383792525,0.5245145500967453,0.14957572665896085,0.08635758605078493,0.16926086865953846,1.0,0.0,1.0,0.0
48.0,48.0,3.0,0.7933333333333333,0.07094598884597587,0.742137558487013,0.07949791949348933,0.045898145219581264,0.08996036463037928,1.0,0.0,1.0,0.0
64.0,64.0,3.0,0.89,0.010000000000000009,0.789347175187821,0.0356689219136503,0.020593461668549744,0.0403631848703575,1.0,0.0,1.0,0.0
96.0,96.0,3.0,0.9033333333333333,0.020816659994661344,0.8137221908837109,0.02860896678279449,0.01651739467328346,0.03237409355963558,1.0,0.0,1.0,0.0
128.0,128.0,3.0,0.9366666666666666,0.01527525231651942,0.8085835343370388,0.017331981403205497,0.010006624128730282,0.019612983292311353,1.0,0.0,1.0,0.0
192.0,192.0,3.0,0.9700000000000001,0.010000000000000009,0.818135241247172,0.02028317160959996,0.011710494588821913,0.02295256939409095,1.0,0.0,1.0,0.0
256.0,256.0,3.0,0.9733333333333333,0.005773502691896262,0.8518709633518805,0.01725524880982936,0.009962322545288952,0.019526152188766344,1.0,0.0,1.0,0.0
384.0,384.0,3.0,0.9766666666666666,0.01527525231651948,0.8280104763576935,0.016949387017327205,0.00978573315705301,0.0191800369878239,1.0,0.0,1.0,0.0
512.0,512.0,3.0,0.9766666666666666,0.005773502691896263,0.8185926717787534,0.032646937578716645,0.018848718199288964,0.036943487670606366,1.0,0.0,1.0,0.0
