width,depth,run,num_params,train_return,test_return,train_return_std,test_return_std,train_entropy,test_entropy,train_coverage,test_coverage,train_optimal_action_rate,test_optimal_action_rate,fim_trace
10.0,1.0,0.0,94.0,0.5744320699556963,0.1396981328018531,0.9493379796334477,1.1098029826998945,1.11692633330822,1.156624214053154,1.0,1.0,0.8,0.57,nan
10.0,1.0,1.0,94.0,0.7948865978322952,0.3066497643279466,0.7651858941035525,1.0652011410628277,1.095688161253929,1.1412049013376235,1.0,1.0,0.9,0.655,nan
10.0,1.0,2.0,94.0,0.7922034389201906,0.2502074376826639,0.7904444334358668,1.0992133708476317,1.1115492582321167,1.1690195468068123,1.0,1.0,0.9,0.625,nan
128.0,1.0,0.0,1156.0,0.9744320699556962,0.2596981328018531,0.5135107521840141,1.0831183257481027,1.0603488445281983,1.1301162654161454,1.0,1.0,1.0,0.63,nan
128.0,1.0,1.0,1156.0,0.8948865978322952,0.35664976432794665,0.6517325262599768,1.057782501360451,1.0410182446241378,1.102227371931076,1.0,1.0,0.95,0.68,nan
128.0,1.0,2.0,1156.0,0.8922034389201906,0.26020743768266397,0.6507478634445847,1.092044848127038,1.0053025364875794,1.0802082860469817,1.0,1.0,0.95,0.63,nan
12.0,1.0,0.0,112.0,0.5744320699556963,0.1496981328018531,0.9493379796334477,1.1089982546983415,1.1014280200004578,1.1669173243641853,1.0,1.0,0.8,0.575,nan
12.0,1.0,1.0,112.0,0.8948865978322952,0.35664976432794665,0.6517325262599768,1.0476019500278244,1.0770933240652085,1.1430351769924163,1.0,1.0,0.95,0.68,nan
12.0,1.0,2.0,112.0,0.7922034389201906,0.2902074376826639,0.7904444334358668,1.0834710696800471,1.08231018781662,1.1482242846488953,1.0,1.0,0.9,0.645,nan
16.0,1.0,0.0,148.0,0.7744320699556962,0.2496981328018531,0.7790692417421909,1.088191994842226,1.0708065509796143,1.136953608095646,1.0,1.0,0.9,0.625,nan
16.0,1.0,1.0,148.0,0.7948865978322952,0.34664976432794664,0.7651858941035525,1.0623477006790902,1.0426013380289079,1.0936686620116234,1.0,1.0,0.9,0.675,nan
16.0,1.0,2.0,148.0,0.7922034389201906,0.2702074376826639,0.77953174935133,1.0933923374988632,1.0564064025878905,1.1158679088950156,1.0,1.0,0.9,0.635,nan
192.0,1.0,0.0,1732.0,0.9744320699556962,0.2996981328018531,0.5135107521840141,1.07164716997128,1.0533321291208266,1.1237377700209619,1.0,1.0,1.0,0.65,nan
192.0,1.0,1.0,1732.0,0.8948865978322952,0.3266497643279466,0.6517325262599768,1.0683427223444948,1.039564773440361,1.1012270691990853,1.0,1.0,0.95,0.665,nan
192.0,1.0,2.0,1732.0,0.8922034389201906,0.26020743768266397,0.6507478634445847,1.092044848127038,1.0054441422224045,1.0819408097863197,1.0,1.0,0.95,0.63,nan
24.0,1.0,0.0,220.0,0.8744320699556962,0.3796981328018531,0.6536286774919613,1.050649000326248,1.0482663750648498,1.1227361151576043,1.0,1.0,0.95,0.69,nan
24.0,1.0,1.0,220.0,0.7948865978322952,0.3166497643279466,0.7651858941035525,1.0675187298730597,1.0309236347675323,1.0949786177277565,1.0,1.0,0.9,0.66,nan
24.0,1.0,2.0,220.0,0.8922034389201906,0.28020743768266393,0.6507478634445847,1.0871184500667108,1.0294000655412674,1.1048055776953698,1.0,1.0,0.95,0.64,nan
256.0,1.0,0.0,2308.0,0.8744320699556962,0.2996981328018531,0.6407855671396745,1.0750223775652379,1.0489468693733215,1.1183582293987273,1.0,1.0,0.95,0.65,nan
256.0,1.0,1.0,2308.0,0.8948865978322952,0.34664976432794664,0.6517325262599768,1.0650227512151664,1.0336249053478241,1.099518085718155,1.0,1.0,0.95,0.675,nan
256.0,1.0,2.0,2308.0,0.8922034389201906,0.2702074376826639,0.6507478634445847,1.0887436141795361,1.010185143351555,1.0843477872014047,1.0,1.0,0.95,0.635,nan
2.0,1.0,0.0,22.0,0.5744320699556963,0.07969813280185309,0.9493379796334477,1.111614814497584,1.2051795721054077,1.2081468510627746,1.0,1.0,0.8,0.54,nan
2.0,1.0,1.0,22.0,-0.005113402167704883,-0.10335023567205341,1.1334034128116468,1.1155719657007008,1.330676543712616,1.3354296773672103,1.0,1.0,0.5,0.45,nan
2.0,1.0,2.0,22.0,-0.2077965610798094,-0.26979256231733606,1.104820541683358,1.09255297996359,1.3659360587596894,1.368236511349678,1.0,1.0,0.4,0.365,nan
32.0,1.0,0.0,292.0,0.7744320699556962,0.31969813280185316,0.7790692417421909,1.0690081360838242,1.0243054747581481,1.1098512157797813,1.0,1.0,0.9,0.66,nan
32.0,1.0,1.0,292.0,0.8948865978322952,0.34664976432794664,0.6517325262599768,1.061001026567855,1.0329333156347276,1.0961293256282807,1.0,1.0,0.95,0.675,nan
32.0,1.0,2.0,292.0,0.7922034389201906,0.31020743768266396,0.77953174935133,1.0764808913374315,1.0192918330430984,1.0865621691942215,1.0,1.0,0.9,0.655,nan
3.0,1.0,0.0,31.0,0.5744320699556963,0.029698132801853096,0.9493379796334477,1.1137518195315474,1.1581022799015046,1.1895112138986588,1.0,1.0,0.8,0.515,nan
3.0,1.0,1.0,31.0,0.3948865978322951,0.036649764327946595,1.0623649010418308,1.1135607549858362,1.2522127687931062,1.246379527449608,1.0,1.0,0.7,0.52,nan
3.0,1.0,2.0,31.0,0.2922034389201906,-0.08979256231733607,1.0674022243020358,1.1237079957352423,1.2596125662326814,1.260094360113144,1.0,1.0,0.65,0.455,nan
48.0,1.0,0.0,436.0,0.8744320699556962,0.2996981328018531,0.6536286774919613,1.0749829960223687,1.0361016541719437,1.1172944638133049,1.0,1.0,0.95,0.65,nan
48.0,1.0,1.0,436.0,0.8948865978322952,0.34664976432794664,0.6517325262599768,1.0597719982212728,1.0349195063114167,1.0914815801382065,1.0,1.0,0.95,0.675,nan
48.0,1.0,2.0,436.0,0.7922034389201906,0.28020743768266393,0.77953174935133,1.086542040586014,1.015401342511177,1.084798583984375,1.0,1.0,0.9,0.64,nan
4.0,1.0,0.0,40.0,0.5744320699556963,0.0896981328018531,0.9493379796334477,1.1132651551834296,1.1230537831783294,1.159747405052185,1.0,1.0,0.8,0.545,nan
4.0,1.0,1.0,40.0,0.49488659783229516,0.10664976432794657,1.0203772865409575,1.1100173477095152,1.2574735403060913,1.2716466373205184,1.0,1.0,0.75,0.555,nan
4.0,1.0,2.0,40.0,0.2922034389201906,-0.09979256231733608,1.0674022243020358,1.1204009923838505,1.270882797241211,1.2834376680850983,1.0,1.0,0.65,0.45,nan
5.0,1.0,0.0,49.0,0.5744320699556963,0.0696981328018531,0.9493379796334477,1.1144405972941325,1.130064308643341,1.1795568040013313,1.0,1.0,0.8,0.535,nan
5.0,1.0,1.0,49.0,0.7948865978322952,0.28664976432794664,0.791122913190778,1.0796339725255322,1.1658937156200408,1.1854131171107292,1.0,1.0,0.9,0.645,nan
5.0,1.0,2.0,49.0,0.2922034389201906,-0.12979256231733607,1.0797287340079817,1.1183185539493257,1.252714341878891,1.2569851469993591,1.0,1.0,0.65,0.435,nan
64.0,1.0,0.0,580.0,0.8744320699556962,0.2896981328018531,0.6536286774919613,1.0777488676214952,1.0321457594633103,1.1146801963448525,1.0,1.0,0.95,0.645,nan
64.0,1.0,1.0,580.0,0.8948865978322952,0.35664976432794665,0.6517325262599768,1.0590672659972813,1.0413314193487166,1.0955452409386635,1.0,1.0,0.95,0.68,nan
64.0,1.0,2.0,580.0,0.8922034389201906,0.30020743768266395,0.6507478634445847,1.0823845830888794,1.011745148897171,1.0851050475239754,1.0,1.0,0.95,0.65,nan
6.0,1.0,0.0,58.0,0.5744320699556963,0.0696981328018531,0.9493379796334477,1.1110823975527235,1.123711347579956,1.1588530403375625,1.0,1.0,0.8,0.535,nan
6.0,1.0,1.0,58.0,0.49488659783229516,0.03664976432794658,1.0203772865409575,1.1121216014105717,1.2158581972122193,1.2231742471456528,1.0,1.0,0.75,0.52,nan
6.0,1.0,2.0,58.0,0.2922034389201906,-0.11979256231733607,1.0797287340079817,1.1180648832439528,1.2313891291618346,1.2349579331278802,1.0,1.0,0.65,0.44,nan
8.0,1.0,0.0,76.0,0.5744320699556963,0.10969813280185309,0.9493379796334477,1.112335218023465,1.1345040053129196,1.1668537989258767,1.0,1.0,0.8,0.555,nan
