num_params,width,run_count,train_fit_mean,train_fit_std,test_return_mean,test_return_std,test_return_sem,test_return_ci95,train_entropy_mean,train_entropy_std,test_entropy_mean,test_entropy_std,train_coverage_mean,train_coverage_std,test_coverage_mean,test_coverage_std
22.0,2.0,3.0,0.5602536844513636,0.20298142858163634,0.4510925558020773,0.08740554408306242,0.05046361440502179,0.0989086842338427,1.3005973915259041,0.08449395568654944,1.3039376799265543,0.08456349247633839,1.0,0.0,1.0,0.0
31.0,3.0,3.0,0.7102536844513637,0.07142402952915515,0.49609255580207723,0.03553989153543638,0.020518965944954295,0.04021717325211042,1.2233092049757641,0.05659193015586895,1.2319950338204704,0.037425664658211184,1.0,0.0,1.0,0.0
40.0,4.0,3.0,0.7269203511180303,0.07276129500465309,0.5160925558020772,0.05730492837257671,0.03308501582179939,0.0648466310107268,1.217136706908544,0.08175358980562888,1.2382772368192674,0.06826388473891225,1.0,0.0,1.0,0.0
49.0,5.0,3.0,0.7769203511180303,0.12598669858549252,0.537759222468744,0.10414108204792578,0.060125881754068855,0.11784672823797496,1.1828907887140911,0.06306689332362696,1.2073183560371399,0.04311225689026747,1.0,0.0,1.0,0.0
58.0,6.0,3.0,0.7269203511180303,0.07276129500465309,0.49775922246874393,0.05061007794967401,0.029219742127952236,0.05727069457078638,1.19031955798467,0.05820474836123663,1.2056617402036984,0.040963454458827486,1.0,0.0,1.0,0.0
76.0,8.0,3.0,0.7769203511180303,0.027175177549861845,0.5294258891354106,0.030850781131861068,0.017811706791190218,0.03491094531073283,1.1531978835662207,0.028149666620740813,1.1869714550177257,0.022625933833235832,1.0,0.0,1.0,0.0
94.0,10.0,3.0,0.8602536844513636,0.06325601662546673,0.6160925558020773,0.04246120286586984,0.024514986904725262,0.048049374333261514,1.1080545842647551,0.011041944921775832,1.15561622073253,0.013934692804112433,1.0,0.0,1.0,0.0
112.0,12.0,3.0,0.8769203511180304,0.0818177101604161,0.6327592224687439,0.05283087217694431,0.03050191827288151,0.05978375981484776,1.0869438439607622,0.012812003493281968,1.1527255953351656,0.01256127339056322,1.0,0.0,1.0,0.0
148.0,16.0,3.0,0.8935870177846971,0.005558059490784365,0.6444258891354105,0.025547080512596076,0.014749613810956389,0.02890924306947452,1.056604763865471,0.014103652711124412,1.1154967263340951,0.02164486016920261,1.0,0.0,1.0,0.0
220.0,24.0,3.0,0.9269203511180303,0.025911605547783084,0.6627592224687441,0.025167388251666097,0.014530398381899247,0.028479580828522522,1.0361966917912164,0.01048037482827653,1.107506770193577,0.014074515855839563,1.0,0.0,1.0,0.0
292.0,32.0,3.0,0.9102536844513637,0.032512142581025964,0.662759222468744,0.009452748513627315,0.005457546898924566,0.010696791921892148,1.0255102078119913,0.00690007595050206,1.0975142368674278,0.01170612690309353,1.0,0.0,1.0,0.0
436.0,48.0,3.0,0.9269203511180303,0.02717517754986189,0.6544258891354106,0.01707694067696467,0.009859376296780823,0.019324377541690415,1.0288075009981792,0.011625109996253876,1.097858209311962,0.017160757593380205,1.0,0.0,1.0,0.0
580.0,64.0,3.0,0.9435870177846969,0.0055580594907844285,0.657759222468744,0.01800312784191546,0.010394110705785138,0.020372456983338873,1.0284074425697327,0.015143252943327865,1.0984434949358304,0.014999075442117345,1.0,0.0,1.0,0.0
868.0,96.0,3.0,0.9435870177846969,0.0055580594907844285,0.6460925558020773,0.019549019703135828,0.011286631787998769,0.022121798304477587,1.0299377153317135,0.02144142745649954,1.1012000006437301,0.0182933547059702,1.0,0.0,1.0,0.0
1156.0,128.0,3.0,0.9602536844513637,0.023359713574741967,0.6460925558020773,0.027914303842137746,0.016116330837499235,0.0315880084414985,1.0355565418799717,0.027926629851718593,1.1041839744647344,0.02501145380189356,1.0,0.0,1.0,0.0
1732.0,192.0,3.0,0.9602536844513637,0.023359713574741967,0.647759222468744,0.01670889011493771,0.009646882205719165,0.01890788912320956,1.0327803482611975,0.024654333109103033,1.1023018830021223,0.020919199070410517,1.0,0.0,1.0,0.0
2308.0,256.0,3.0,0.9435870177846969,0.0055580594907844285,0.652759222468744,0.019276049587202696,0.011129032418084052,0.02181290353944474,1.0309189726909003,0.019522023581188472,1.100741367439429,0.017038188232366677,1.0,0.0,1.0,0.0
