episode,run_count,train_fit_mean,test_return_mean,test_return_std,test_fit_mean,test_fit_sem,test_fit_ci95
1000.0,3.0,0.9555928202012315,0.41062066579789464,0.03655464620089048,0.7053103328989474,0.010552417412107804,0.020682738127731297
2000.0,3.0,0.9942922172466911,0.5186329656235552,0.024194244387594446,0.7593164828117777,0.006984276755008649,0.013689182439816951
3000.0,3.0,1.0048011490771438,0.4583959681846339,0.03204772831139869,0.729197984092317,0.009251382283751,0.018132709276151963
4000.0,3.0,0.999765847506089,0.3915129689409043,0.09006597049141521,0.6957564844704521,0.025999806154021723,0.05095962006188257
5000.0,3.0,1.0006588637793077,0.41842539434038467,0.10277656862176794,0.7092126971701923,0.029669039780081858,0.05815131796896044
6000.0,3.0,0.993418114168855,0.39349431576280436,0.09347804683307463,0.6967471578814021,0.02698478775119806,0.05289018399234819
7000.0,3.0,0.9947624178467978,0.4717113302674573,0.04049940645663061,0.7358556651337286,0.011691171609877872,0.022914696355360628
8000.0,3.0,0.9902676896467243,0.36838315866992327,0.03280013163482257,0.6841915793349617,0.009468582414409978,0.018558421532243557
9000.0,3.0,0.9974911304393528,0.46190005443601284,0.03761297185575701,0.7309500272180065,0.010857929712971564,0.021281542237424265
10000.0,3.0,0.9917808395342931,0.4705047958286451,0.03300251143787773,0.7352523979143225,0.009527004431296221,0.018672928685340595
11000.0,3.0,1.0098942111373872,0.40378967939811944,0.02653116018064257,0.7018948396990599,0.00765888623610352,0.015011417022762898
12000.0,3.0,1.002059366699599,0.44216093702792597,0.04870723252233849,0.721080468513963,0.014060566904126893,0.02755871113208871
13000.0,3.0,1.0039728992191603,0.4402189720707634,0.10398111510133043,0.7201094860353816,0.030016762397195265,0.05883285429850272
14000.0,3.0,0.9923460987913518,0.43284959017796626,0.09289278667044938,0.7164247950889832,0.0268158376949792,0.052559041882159235
15000.0,3.0,0.9961629858153476,0.48724607166315154,0.07243115832648309,0.7436230358315757,0.020909074378755735,0.04098178578236124
16000.0,3.0,0.9956572336665349,0.5172195561058334,0.012172178189129858,0.7586097780529166,0.003513805177059118,0.006887058147035871
17000.0,3.0,0.997093203596596,0.4829497943234066,0.02018556311782717,0.7414748971617033,0.005827070149910841,0.011421057493825248
18000.0,3.0,1.0002732984029659,0.49166516939849664,0.02224529937912769,0.7458325846992483,0.006421664792371601,0.012586462993048338
19000.0,3.0,0.9985776207621434,0.483264693455509,0.017816780032347324,0.7416323467277545,0.005143261373884022,0.010080792292812684
20000.0,3.0,1.0040979466538091,0.4825895134303277,0.02163805766662553,0.7412947567151639,0.006246369209283428,0.012242883650195518
21000.0,3.0,1.00638353597597,0.5009727180723845,0.030867028302359635,0.7504863590361923,0.008910543549725574,0.017464665357462123
22000.0,3.0,1.005293749770871,0.4829528794353286,0.020143460173391962,0.7414764397176642,0.005814916076759165,0.011397235510447962
23000.0,3.0,1.0062654620768372,0.48620381642247207,0.00573959659014545,0.7431019082112361,0.0016568788181801578,0.003247482483633109
24000.0,3.0,1.001336368584769,0.4883298780166289,0.010028113867424089,0.7441649390083144,0.002894867120410741,0.005673939556005052
25000.0,3.0,1.0060766461934392,0.4993378266734631,0.012521461091953484,0.7496689133367315,0.003614634466043368,0.007084683553445001
26000.0,3.0,1.0099299895475642,0.4909834482602203,0.009730538305153035,0.74549172413011,0.0028089644549200445,0.005505570331643287
27000.0,3.0,0.9980633085366711,0.49798616278973507,0.026719158312301334,0.7489930813948676,0.007713156622063701,0.015117786979244855
28000.0,3.0,0.9974318721995719,0.49758841050488445,0.02227778433311169,0.7487942052524422,0.006431042390835248,0.012604843086037086
29000.0,3.0,0.9999315552608797,0.49197557458231733,0.033232889711539385,0.7459877872911588,0.009593508910453227,0.018803277464488326
30000.0,3.0,1.0097853954834684,0.49033122745602786,0.031703666866833645,0.7451656137280139,0.009152060299932306,0.01793803818786732
31000.0,3.0,1.0128565836890464,0.4665125283109654,0.014739248242113796,0.7332562641554827,0.0042548544701185706,0.008339514761432397
32000.0,3.0,1.000432085234161,0.48404412873050545,0.0008407256910590408,0.7420220643652528,0.00024269660202380479,0.00047568533996665736
33000.0,3.0,1.0036290371098684,0.4816824485631636,0.004088339187916057,0.7408412242815818,0.0011802018653409392,0.0023131956560682406
34000.0,3.0,1.0113540623093678,0.48720775919377096,0.013134027711830663,0.7436038795968857,0.003791467217484743,0.007431275746270096
35000.0,3.0,0.9981042408200579,0.48422502328231465,0.01598735513530276,0.7421125116411572,0.004615151895498572,0.0090456977151772
36000.0,3.0,0.9985804252456371,0.47993469438667363,0.011856601985832656,0.7399673471933368,0.0034227061740973374,0.006708504101230781
37000.0,3.0,0.9953539104472845,0.48669581667876866,0.020352825116323997,0.7433479083393842,0.005875354529839518,0.011515694878485454
38000.0,3.0,1.0066253568161734,0.4779552501326612,0.023165817469514564,0.7389776250663306,0.006687395476010966,0.013107295132981494
39000.0,3.0,0.9887965415012299,0.4764784065263535,0.014561883660893348,0.7382392032631767,0.004203653725762364,0.008239161302494233
40000.0,3.0,0.9975045273314861,0.4780425957309687,0.008223895976184234,0.7390212978654844,0.0023740342778187282,0.004653107184524707
41000.0,3.0,1.0002838239250726,0.48265139196627765,0.016761007015143933,0.7413256959831388,0.004838485956041278,0.009483432473840906
42000.0,3.0,0.9921525815352408,0.47562585976027133,0.019152662281876013,0.7378129298801358,0.005528897362069563,0.010836638829656344
43000.0,3.0,1.0045142136395568,0.4813155281880446,0.008503081707847927,0.7406577640940223,0.0024546282564836736,0.004811071382708
44000.0,3.0,1.0070727690937067,0.4776646903775363,0.013873029135936079,0.7388323451887681,0.00400479855305413,0.007849405163986094
45000.0,3.0,0.9925582376672443,0.485329888416784,0.01700668788587123,0.7426649442083919,0.004909407914465852,0.00962243951235307
46000.0,3.0,1.0046684485322008,0.4764994733691649,0.01366377259562601,0.7382497366845825,0.003944391393115254,0.0077310071305058976
47000.0,3.0,0.9962182462386702,0.482028559004647,0.0031895316518591563,0.7410142795023233,0.0009207384788948578,0.0018046474186339213
48000.0,3.0,0.9942796451088632,0.4907556157964814,0.010891346592109332,0.7453778078982407,0.003144060943395918,0.006162359449055999
