width,depth,run,num_params,train_return,test_return,train_return_std,test_return_std,train_entropy,test_entropy,train_coverage,test_coverage,fim_trace
10.0,2.0,0.0,4204.0,0.8567949493661167,0.06584281558085447,0.3311814608337852,0.5512216447564916,0.25293008255710075,0.21773389654670983,0.24550270969697516,0.1665311457206856,nan
10.0,2.0,1.0,4204.0,0.9281949493661165,0.1845600631515171,0.1702449999265764,0.6024350076815217,0.19393663980902492,0.13695608157066924,0.2516044046122294,0.1657272989826283,nan
10.0,2.0,2.0,4204.0,0.8817179164046897,-0.10091621108051935,0.2866462244050077,0.4425727856688958,0.1942115927669202,0.17667718744052657,0.24905895006677486,0.12857637081475093,nan
12.0,2.0,0.0,5260.0,0.9275949493661166,0.051659559579724006,0.16729626415434387,0.5626019999405099,0.15175002938514945,0.20094249292756583,0.25228237071392434,0.12275362185194845,nan
12.0,2.0,1.0,5260.0,0.6129753444957462,-0.0454262076938844,0.5488084370155281,0.49928355662073554,0.18675247402005876,0.08036786890521853,0.22298787297546813,0.11719070325602361,nan
12.0,2.0,2.0,5260.0,0.8093585929573384,-0.19279067095812036,0.3948351073111682,0.34007638668321555,0.2291900602667187,0.19468134995821484,0.2444116017890274,0.11030343565198528,nan
16.0,2.0,0.0,7588.0,0.7816226998418122,-0.17431575445444722,0.4270428479392276,0.35605071214964434,0.20075890858457945,0.2099186517495331,0.23444159002568601,0.12082212644676883,nan
16.0,2.0,1.0,7588.0,0.9305949493661165,0.2066147047601763,0.17181804328998748,0.6068058542867928,0.1740118833521215,0.19301547729803176,0.250587455459687,0.16390853951333362,nan
16.0,2.0,2.0,7588.0,0.7850310950037526,-0.008739765523606472,0.42144901669189977,0.5251204135596452,0.18709183117621075,0.15849291505567845,0.24247611791805965,0.12150058105787286,nan
24.0,2.0,0.0,13108.0,0.831113121050494,0.006479111658988195,0.367765350205159,0.5333300628184301,0.13754083114795326,0.10363406996308079,0.24276373990059694,0.13214362227673923,nan
24.0,2.0,1.0,13108.0,0.9037751454633981,0.07891261985948214,0.23809139099799703,0.5725079832856769,0.14900330710476933,0.12964838559378936,0.25000790379210913,0.1333243459786494,nan
24.0,2.0,2.0,13108.0,0.9255949493661165,-0.11200213688589206,0.1671359925330268,0.4319483357931224,0.23975257167312375,0.18783046923103103,0.25228237071392434,0.13026360443552604,nan
2.0,2.0,0.0,700.0,0.9289949493661166,0.002993921413131351,0.16910351859142372,0.5308977872640652,0.3535722550518796,0.16211531092399212,0.2539772859681616,0.1395385422183232,nan
2.0,2.0,1.0,700.0,0.883152728855931,0.25856849587056746,0.29352955216148574,0.6091397323218567,0.17479310238825663,0.20120853115260556,0.2445782104673912,0.17920329122311657,nan
