num_params,train_mean,train_std,test_mean,test_std,train_entropy_mean,train_entropy_std,test_entropy_mean,test_entropy_std,train_coverage_mean,train_coverage_std,test_coverage_mean,test_coverage_std,train_return_std_mean,train_return_std_std,test_return_std_mean,test_return_std_std
700.0,0.8391984406003404,0.09641000664942832,0.006443855964208212,0.20446502975639833,0.30754965860587186,0.09533303446349846,0.20880909448214094,0.04157705332617065,0.24048261260798798,0.013016627475425443,0.1467198013437978,0.024131241703704315,0.3191161833262786,0.13415611303709718,0.4611991676300249,0.1571741314744675
1075.0,0.7652727118772519,0.0855854525028937,-0.008092384256217796,0.13531068706990776,0.24847309272388474,0.12213984892218713,0.21084893425785256,0.13536434543774245,0.22962653559227877,0.020286587064844815,0.14677980473339447,0.008240065860843832,0.4267758429715543,0.09920190867698171,0.4884556378432341,0.09281327663530531
1468.0,0.9142616160327832,0.011126345112190086,0.053534571100657284,0.07987883847263795,0.19466415489546587,0.03707629394511314,0.14516493006642833,0.05771868635596888,0.25081138971751954,0.0010580639367325686,0.15449848764269383,0.01793041432827821,0.214924435576801,0.03252619957296246,0.5440137379583271,0.03257432794998042
1879.0,0.8564465645418409,0.04949592153409893,0.024168415053682404,0.0672201374144025,0.18207654252600203,0.04055315750720588,0.12575687124829424,0.015546675806909839,0.2465894436300732,0.002000907399027316,0.14824283553563908,0.018911546350411753,0.3113137791482503,0.09682235426705232,0.5313416103377399,0.029289098753078117
2308.0,0.8793026050456408,0.03982709865828253,0.04828710281510679,0.037386465767966656,0.1327561375836662,0.0454971831759046,0.16242538021323905,0.0749307450455922,0.24788106956686043,0.0029568321931782017,0.15276703212804751,0.018516962130433624,0.2746365567035107,0.08080610612776762,0.5467949093301577,0.023100838342885368
3220.0,0.8192478792383135,0.13920306079800962,-0.0686880941060156,0.05154531350376167,0.2530397427289593,0.08028979245458726,0.1805226128367361,0.021812516631372476,0.23251863162815134,0.024278120020557934,0.1392844997480329,0.012604740180336381,0.32099275831573937,0.165698517994667,0.46736835805893345,0.04189403253268663
4204.0,0.8889026050456409,0.02958834019396327,0.04982888921728407,0.11709400828831112,0.2136927717110153,0.027745195639443783,0.17712238851930187,0.032978907411417464,0.24872202145865976,0.002502373656475598,0.15361160517268826,0.0177056255073956,0.26269089505512305,0.06785047022942173,0.5320764793689697,0.06665275950771629
5260.0,0.7833096289397338,0.12975691461855343,-0.06218577302409358,0.10049756572522699,0.18923085455730895,0.03166329497804638,0.15866390393033306,0.05542263258099008,0.23989394849280662,0.012378712720250706,0.11674925358665245,0.005092343433127771,0.37031326949368,0.15671391111996816,0.4673206477481536,0.09361493042095888
7588.0,0.8324162480705604,0.06943676898424209,0.007853061594040867,0.15595618000618655,0.18728754103763723,0.010920304222222328,0.18714234803441443,0.02140127463706754,0.24250172113447757,0.00659154682386137,0.13541041567265844,0.02015312005610507,0.34010330264037164,0.11901755927306254,0.49599232666536075,0.1044218029967756
13108.0,0.8868277386266695,0.04039071608949174,-0.008870135122473907,0.07869269605393298,0.17543223664194882,0.04572144801335651,0.1403709749293004,0.035199326262165244,0.24835133813554347,0.00405867305663572,0.1319105242303049,0.0012603665400427286,0.2576642445787276,0.08306767216333369,0.5125954606324098,0.05922666303654788
19780.0,0.8017577014459709,0.09124081114675238,0.023086529861675597,0.14376950679651573,0.1421148870908293,0.019557196588779684,0.15952935394023965,0.0426304703134996,0.24590730237056727,0.004551325232545925,0.1421866619546108,0.02578304601994237,0.36404135267302923,0.1392983400833719,0.5143148809744799,0.07002260912167294
