num_params,train_mean,train_std,test_mean,test_std,train_entropy_mean,train_entropy_std,test_entropy_mean,test_entropy_std,train_coverage_mean,train_coverage_std,test_coverage_mean,test_coverage_std,train_return_std_mean,train_return_std_std,test_return_std_mean,test_return_std_std
700.0,0.8451667242667258,0.11829637258500356,0.03781933066665489,0.09403680869002741,0.3090471062067472,0.11706196133774534,0.23246278580738214,0.09336870073825836,0.2344876095428919,0.02113650244333698,0.13769953966113282,0.013463442791828702,0.25181072455324616,0.2231230011417112,0.539813359595235,0.054200323415034425
1075.0,0.8309137221883673,0.10203427821809957,-0.02278703905501342,0.09429361037927433,0.22510098047901766,0.05682889684787531,0.18381283152594569,0.06521230228464156,0.24672304868002598,0.00705084745762711,0.1318535063142737,0.01786579762049633,0.2762359627295266,0.22051937408657069,0.4992969222900743,0.06811547782273919
1468.0,0.9188394076133166,0.07631946976885147,0.08942220857781033,0.03154983286564492,0.21949013390452016,0.06692965078375994,0.1736927301676743,0.039839719042629514,0.2513332181715514,0.0032542372881355862,0.14878879267732245,0.006081534324612338,0.0913419233892014,0.17464536228858074,0.5726048096452192,0.012572062504939488
1879.0,0.9565149493661165,0.0006881860213633756,0.002297665072881644,0.1276930066361518,0.17962593896562626,0.03342492363854511,0.15031281238625394,0.023113284873812,0.2529603368156192,0.0,0.13521243545267175,0.023325924559525927,0.0048881173519464615,0.0008260198263964117,0.5086783346960293,0.0767428499931932
2308.0,0.927129852686198,0.05993466506244544,-0.01421325486743106,0.10041153060114723,0.2143633058007468,0.059404148391969475,0.15301439940343411,0.03149928613097024,0.24980882166410404,0.00630303030303031,0.1368908907024136,0.021628479817128413,0.08315777344921683,0.1583403436178189,0.5012498210248464,0.08278994291929515
3220.0,0.9095594076133168,0.07430946245846937,-0.024978714856581975,0.06585670561298143,0.20571075279761725,0.06040949720126006,0.13537556346854565,0.04477453690430443,0.2503150363533696,0.0033798567940324376,0.12869927023505584,0.012512463400922564,0.13793504181859376,0.17715991018244265,0.506895166447628,0.04976203612756651
4204.0,0.8801949493661165,0.09504861913778655,-0.006305271990482528,0.05814201593170269,0.16677809303610255,0.05091713431077533,0.15315886631600323,0.05186586687710009,0.24863039331279432,0.007398990159474416,0.14121227547703047,0.010677557005424039,0.17911475587307307,0.21544703346421237,0.5160508856344916,0.03872408126384948
5260.0,0.9096349493661167,0.07318168076779881,0.06962805686191328,0.07276036255646301,0.19968206425207619,0.03420420910702444,0.14332165489600196,0.010746190534562916,0.25141756483350297,0.002044333604395578,0.15128927667838438,0.008620201692325335,0.13768630935407997,0.1751710941235813,0.556144517458408,0.0302879872052151
7588.0,0.8802794076133166,0.09331975399572544,-0.031748188017452064,0.07643739749346265,0.17304150651966657,0.03898267590435887,0.1345189659007475,0.06306133506973512,0.250808628007617,0.003159699165334332,0.13540653177735104,0.010305831284936453,0.17740621667651008,0.21265888136138472,0.49639480415097276,0.05708452179819925
13108.0,0.8890371784897166,0.0848065240598236,0.04049795688897887,0.10482916755795867,0.150271075808381,0.052686144354026326,0.12199851899394357,0.04200106570718989,0.24780779444273784,0.0073969799034499465,0.14850286808238233,0.008595352882641774,0.17103352293002586,0.20525505370963207,0.5320914918188409,0.07332112260190582
19780.0,0.9279549493661167,0.05848246232846223,0.022428174010685524,0.027062567170117412,0.1557810120775091,0.04148848776398931,0.1059273515087984,0.042113459356540914,0.2505196588495175,0.00488135593220339,0.13614759810934599,0.008484277094602559,0.08301615412686784,0.1576624183310155,0.5418748000173643,0.012282658647508967
