width,depth,run,num_params,train_return,test_return,train_return_std,test_return_std,train_entropy,test_entropy,train_coverage,test_coverage,fim_trace
10.0,2.0,0.0,4204.0,0.7657949493661165,-0.08682579716933947,0.4350698334750411,0.4557893460138111,0.221650161873383,0.11954450054326395,0.25029367014895254,0.13705474518981042,nan
10.0,2.0,1.0,4204.0,0.9577949493661165,-0.05577424561910223,0.0032496153618543876,0.48715580780092055,0.09226082249457951,0.1618630261554246,0.2529603368156192,0.129526063609663,nan
10.0,2.0,2.0,4204.0,0.7617949493661166,0.0006649803481729037,0.450755099804761,0.5312697971505761,0.12023098547367217,0.10117867281032844,0.23397728596816159,0.13212868945215764,nan
10.0,2.0,3.0,4204.0,0.9577949493661165,0.0685513328787589,0.0032496153618543876,0.5587810848329421,0.20443830064952082,0.24899154493952672,0.2529603368156192,0.15706718800706412,nan
10.0,2.0,4.0,4204.0,0.9577949493661165,0.04185736960909722,0.0032496153618543876,0.547258392374208,0.19531019468935726,0.13421658713147241,0.2529603368156192,0.1502846911264573,nan
12.0,2.0,0.0,5260.0,0.9577949493661165,0.0327443671662123,0.0032496153618543876,0.5390707123987655,0.15982763826994184,0.12831205162626852,0.2529603368156192,0.15453617127415237,nan
12.0,2.0,1.0,5260.0,0.9085949493661167,0.08845271813393785,0.24080664442660216,0.5725066718818582,0.19685516126795366,0.13520589177298212,0.2478694277247101,0.14774698844314405,nan
12.0,2.0,2.0,5260.0,0.9581949493661167,0.20381993198348478,0.0027129319932501094,0.6078546982167308,0.18653377868520757,0.1560511397394169,0.2529603368156192,0.16410990659161168,nan
12.0,2.0,3.0,5260.0,0.9553949493661168,0.013094436410058911,0.005571355310873652,0.5358031636391886,0.26310688848238867,0.14259623966798068,0.2529603368156192,0.13775892394275946,nan
12.0,2.0,4.0,5260.0,0.7681949493661164,0.010028830615872635,0.4360909996778195,0.5254873411554969,0.1920868545548892,0.15444295167336164,0.25033738599594707,0.15229439314025436,nan
16.0,2.0,0.0,7588.0,0.7657949493661165,-0.14353076528588105,0.4350698334750411,0.40670054722094523,0.15766831852142157,0.05641074709557371,0.25033738599594707,0.11757298889441538,nan
16.0,2.0,1.0,7588.0,0.7662172406021169,0.08509820819841528,0.44062245481448375,0.5742131964107468,0.2417211604774019,0.2118766179600902,0.24482474359528023,0.14121213409429906,nan
16.0,2.0,2.0,7588.0,0.9573949493661167,-0.0772338461562618,0.0036660605559646754,0.4625345833157277,0.1220097898830794,0.18971539851204525,0.2529603368156192,0.13817089431743682,nan
16.0,2.0,3.0,7588.0,0.9585949493661167,-0.020998931867827964,0.0019595917942265445,0.5191180525238345,0.16753423590866412,0.06686252335716006,0.2529603368156192,0.13201454726490255,nan
16.0,2.0,4.0,7588.0,0.9533949493661166,-0.002075604975704756,0.0057131427428342854,0.5194076412836093,0.17627402780776585,0.14772954257886825,0.2529603368156192,0.14806209431570141,nan
24.0,2.0,0.0,13108.0,0.7613949493661165,0.1732004808407164,0.45058433172936674,0.6022783401010103,0.18264293717707286,0.08812087235469943,0.23397728596816159,0.15865209456884785,nan
24.0,2.0,1.0,13108.0,0.9557949493661165,0.07548014372886593,0.005455272678794347,0.5633351839923393,0.16343736487711927,0.1665402157212755,0.2529603368156192,0.1539729484760227,nan
24.0,2.0,2.0,13108.0,0.9577949493661166,0.0749023718683589,0.0032496153618543867,0.5631529075731382,0.22432252878506445,0.17972536931695657,0.2529603368156192,0.1518886854441865,nan
24.0,2.0,3.0,13108.0,0.9573949493661167,-0.14571816066031007,0.0036660605559646754,0.39089318771002785,0.09389724968006397,0.08482455944652387,0.2529603368156192,0.1342880482665152,nan
24.0,2.0,4.0,13108.0,0.8128060949841168,0.024624948667263183,0.39221233432414904,0.5407978397176886,0.08705529852258437,0.0907815781302624,0.24618067579867006,0.14371256365633947,nan
2.0,2.0,0.0,700.0,0.9557949493661166,0.06638537715588712,0.005455272678794348,0.5663701457658346,0.15956073286434946,0.12823811609492317,0.2529603368156192,0.13575622519645253,nan
2.0,2.0,1.0,700.0,0.9569949493661167,-0.044651792434585925,0.00489897948556636,0.49970784296675985,0.2706479149611768,0.14867585088488272,0.2529603368156192,0.12576374471389432,nan
2.0,2.0,2.0,700.0,0.7036528137423856,-0.09832669678033391,0.49771862919436444,0.45373122164535173,0.5179783255707118,0.3692475111941136,0.21659670045198282,0.12090387696853634,nan
2.0,2.0,3.0,700.0,0.6999959594928933,0.1337531554527949,0.5100246458216083,0.5888009979731369,0.2782372627686492,0.20476871437773234,0.2020512459065283,0.15497556954318623,nan
2.0,2.0,4.0,700.0,0.9093949493661165,0.13193660993951226,0.24095609558589715,0.5904565896250917,0.31881129486884896,0.31138373648525874,0.2478694277247101,0.15109828188359467,nan
32.0,2.0,0.0,19780.0,0.9577949493661165,0.029377269571744895,0.0032496153618543876,0.5491581682251901,0.22323224645089657,0.11937635108038439,0.2529603368156192,0.13084673551284856,nan
32.0,2.0,1.0,19780.0,0.9565949493661166,-0.0023632929089091982,0.0051224993899462844,0.5329996076724014,0.09757978558260011,0.05425722870863046,0.2529603368156192,0.12715670692201564,nan
32.0,2.0,2.0,19780.0,0.9565949493661167,0.01757522389586125,0.005122499389946284,0.5374039938494239,0.1733343992750835,0.1255672949712749,0.2529603368156192,0.13855723419607363,nan
32.0,2.0,3.0,19780.0,0.9577949493661165,0.07063988237399572,0.0032496153618543876,0.5619961148004758,0.1434012990791533,0.1674610395735953,0.2529603368156192,0.1514315904888139,nan
32.0,2.0,4.0,19780.0,0.8109949493661165,-0.003088212879265058,0.3983365411307379,0.52781611553933,0.141357329999812,0.0629748432101069,0.24075694698511071,0.13274572342697827,nan
3.0,2.0,0.0,1075.0,0.7613949493661165,-0.15725773752891312,0.45058433172936674,0.3877126256286954,0.2656890569544463,0.1471310921430094,0.23397728596816159,0.11697390888275547,nan
3.0,2.0,1.0,1075.0,0.9517949493661166,0.019147772015046683,0.009173875952943781,0.532109971503778,0.29506840090651354,0.29397855681400586,0.2529603368156192,0.14841286421470268,nan
3.0,2.0,2.0,1075.0,0.764217240602117,0.10103819647999589,0.4397647517158302,0.5730917439540975,0.20350676454873035,0.20197654784278973,0.24482474359528023,0.15537941909366845,nan
3.0,2.0,3.0,1075.0,0.7201665222413703,-0.10473905455318239,0.4776568542494924,0.45588969954953185,0.1297213184220985,0.09766768602729797,0.2488925402054497,0.10854582697221386,nan
3.0,2.0,4.0,1075.0,0.9569949493661166,0.02787562831198584,0.0040000000000000036,0.5476805708142686,0.23151936156329977,0.1783102748026255,0.2529603368156192,0.12995551240802808,nan
4.0,2.0,0.0,1468.0,0.7662172406021169,0.08453073596444473,0.44062245481448375,0.5709587402849184,0.3190259119238485,0.18129199993142706,0.24482474359528023,0.15005321572111024,nan
4.0,2.0,1.0,1468.0,0.9561949493661166,0.08409211372936398,0.005306599664568644,0.5707939385605856,0.1124153343977821,0.11024830239528557,0.2529603368156192,0.14847480326352736,nan
4.0,2.0,2.0,1468.0,0.9577949493661165,0.11671101869256167,0.0032496153618543876,0.5865272854000023,0.22762833697863066,0.21394028725145436,0.2529603368156192,0.14657380960727268,nan
4.0,2.0,3.0,1468.0,0.9585949493661167,0.0359759007893632,0.0019595917942265445,0.5510059805533901,0.2410891402842394,0.1489987366431851,0.2529603368156192,0.13999975509285298,nan
